kew_id,taxon_name_Stace,LIST,TAXONCITED,ACCEPTEDNAME,RK,2N/N,chromosome_count_2n,notes,unambiguous_match,matched_by_cit.,matched_by_acc.,match_to_subsp_etc.
140828-1,Campanula persicifolia,Campanula persicifolia L.,Campanula persicifolia var. maxima ,Campanula persicifolia L.,37,2n=32,32,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""heteris"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=16,16,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""tenuis"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=16,16,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""heteris"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=16,16,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""tenuis"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=16,16,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""heteris"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=16,16,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""tenuis"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=16,16,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""rhomboidea"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=32,32,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""simplex"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=32,32,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""rhomboidea"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=32,32,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""simplex"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=32,32,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""rhomboidea"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=32,32,,n,n,y,n
30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,"Capsella bursa-pastoris ""simplex"" Shull",Capsella bursa-pastoris (L.) Medik.,37,2n=32,32,,n,n,y,n
188569-1,Carduus crispus,Carduus crispus L.,"Carduus acanthoides auct., non L.",Carduus crispus ssp. multiflorus (Gaudin) Gremli,34,2n=16,16,,n,n,y,y
188569-1,Carduus crispus,Carduus crispus L.,"Carduus acanthoides auct., non L.",Carduus crispus ssp. multiflorus (Gaudin) Gremli,34,2n=16,16,,n,n,y,y
298610-1,Carex aquatilis,Carex aquatilis Wahlenb.,Carex aquatilis var. minor Boott,Carex aquatilis Wahlenb.,37,2n=76,76,,n,n,y,n
298610-1,Carex aquatilis,Carex aquatilis Wahlenb.,Carex aquatilis var. minor Boott,Carex aquatilis Wahlenb.,37,2n=76,76,,n,n,y,n
299736-1,Carex filiformis,Carex filiformis L.,Carex tomentosa L.,Carex filiformis L.,34,2n=48,48,,n,n,y,n
300842-1,Carex magellanica,Carex magellanica Lam.,Carex paupercula Michx.,Carex magellanica ssp. irrigua (Wahlenb.) Hiitonen,34,2n=58,58,,n,n,y,y
300842-1,Carex magellanica,Carex magellanica Lam.,Carex paupercula Michx.,Carex magellanica ssp. irrigua (Wahlenb.) Hiitonen,34,2n=58,58,,n,n,y,y
1200427-2,Carpobrotus edulis,Carpobrotus edulis (L.) N.E. Br.,Carpobrotus edulis var. edulis ,Carpobrotus edulis (L.) N.E.Br.,37,2n=18,18,,n,n,y,n
1200427-2,Carpobrotus edulis,Carpobrotus edulis (L.) N.E. Br.,Carpobrotus edulis var. rubescens Druce,Carpobrotus edulis (L.) N.E.Br.,37,2n=18,18,,n,n,y,n
395167-1,Catapodium rigidum,Catapodium rigidum (L.) C.E. Hubb.,"Festuca rigida (L.) Raspail, non Roth",Catapodium rigidum (L.) C.E.Hubb.,34,2n=14,14,,n,n,y,n
152210-1,Cerastium diffusum,Cerastium diffusum Pers.,Cerastium tetrandrum Curtis,Cerastium diffusum Pers.,34,2n=72,72,,n,n,y,n
152210-1,Cerastium diffusum,Cerastium diffusum Pers.,Cerastium tetrandrum Curtis,Cerastium diffusum Pers.,34,2n=72,72,,n,n,y,n
152210-1,Cerastium diffusum,Cerastium diffusum Pers.,Cerastium tetrandrum Curtis,Cerastium diffusum Pers.,34,2n=72,72,,n,n,y,n
152210-1,Cerastium diffusum,Cerastium diffusum Pers.,Cerastium tetrandrum Curtis,Cerastium diffusum Pers.,34,2n=72,72,,n,n,y,n
152255-1,Cerastium fontanum,Cerastium fontanum Baumg.,Cerastium holosteoides Fr.,"Cerastium fontanum ssp. holosteoides (Fr.) Salman, Ommering & de Voogd",34,2n=136-152,,136-152,n,n,y,y
152255-1,Cerastium fontanum,Cerastium fontanum Baumg.,Cerastium holosteoides Fr.,"Cerastium fontanum ssp. holosteoides (Fr.) Salman, Ommering & de Voogd",34,"2n=144 (mode), 137-147 (range)",,"144 (mode), 137-147 (range)",n,n,y,y
152255-1,Cerastium fontanum,Cerastium fontanum Baumg.,"Cerastium vulgatum sensu L.(1759), non L.(1755)",Cerastium fontanum ssp. vulgare (Hartm.) Greuter & Burdet,34,2n=72,72,,n,n,y,y
152255-1,Cerastium fontanum,Cerastium fontanum Baumg.,"Cerastium vulgatum sensu L.(1759), non L.(1755)",Cerastium fontanum ssp. vulgare (Hartm.) Greuter & Burdet,34,2n=126,126,,n,n,y,y
152255-1,Cerastium fontanum,Cerastium fontanum Baumg.,Cerastium holosteoides Fr.,"Cerastium fontanum ssp. holosteoides (Fr.) Salman, Ommering & de Voogd",34,2n=144,144,,n,n,y,y
152255-1,Cerastium fontanum,Cerastium fontanum Baumg.,"Cerastium vulgatum sensu L.(1759), non L.(1755)",Cerastium fontanum ssp. vulgare (Hartm.) Greuter & Burdet,34,2n=144,144,,n,n,y,y
152255-1,Cerastium fontanum,Cerastium fontanum Baumg.,"Cerastium vulgatum sensu L.(1759), non L.(1755)",Cerastium fontanum ssp. vulgare (Hartm.) Greuter & Burdet,34,2n=180,180,,n,n,y,y
152274-1,Cerastium glomeratum,Cerastium glomeratum Thuill.,"Cerastium viscosum auct., non L.",Cerastium glomeratum Thuill.,34,2n=72,72,,n,n,y,n
152458-1,Cerastium nigrescens,Cerastium nigrescens (H.C. Watson) Edmondston ex H.C. Watson,Cerastium edmondstonii (Edmondston) Murb. & Ostenf.,Cerastium nigrescens (H.C.Watson) Edmondston ex H.C.Watson,34,2n=c.108,,c.108,n,n,y,n
152458-1,Cerastium nigrescens,Cerastium nigrescens (H.C. Watson) Edmondston ex H.C. Watson,Cerastium edmondstonii (Edmondston) Murb. & Ostenf.,Cerastium nigrescens (H.C.Watson) Edmondston ex H.C.Watson,34,2n=72,72,,n,n,y,n
152458-1,Cerastium nigrescens,Cerastium nigrescens (H.C. Watson) Edmondston ex H.C. Watson,"Cerastium arcticum auct., non Lange",Cerastium nigrescens (H.C.Watson) Edmondston ex H.C.Watson,34,2n=108,108,,n,n,y,n
152458-1,Cerastium nigrescens,Cerastium nigrescens (H.C. Watson) Edmondston ex H.C. Watson,"Cerastium arcticum auct., non Lange",Cerastium nigrescens (H.C.Watson) Edmondston ex H.C.Watson,34,2n=108,108,,n,n,y,n
152458-1,Cerastium nigrescens,Cerastium nigrescens (H.C. Watson) Edmondston ex H.C. Watson,"Cerastium arcticum auct., non Lange",Cerastium nigrescens (H.C.Watson) Edmondston ex H.C.Watson,34,2n=108,108,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +0/2B,,72 +0/2B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +0/2B,,72 +0/2B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +1-3B,,72 +1-3B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +1-3B,,72 +1-3B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +5B,,72 +5B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +5B,,72 +5B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +7B,,72 +7B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +7B,,72 +7B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +9B,,72 +9B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +9B,,72 +9B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +9B,,72 +9B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72 +9B,,72 +9B,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
152715-1,Cerastium tomentosum,Cerastium tomentosum L.,Cerastium tomentosum var. tomentosum ,Cerastium tomentosum L.,37,2n=72,72,,n,n,y,n
611374-1,Chamaenerion angustifolium,Chamaenerion angustifolium (L.) Scop.,Epilobium angustifolium L.,Chamerion angustifolium (L.) Holub,34,2n=36,36,,n,n,y,n
611374-1,Chamaenerion angustifolium,Chamaenerion angustifolium (L.) Scop.,Epilobium angustifolium L.,Chamerion angustifolium (L.) Holub,34,2n=36,36,,n,n,y,n
