kew_id,taxon_name,sporophytic_chromosome_number,infraspecific_variation_chrom_number,other_reported_sporophytic_chromosome_number,source_of_other_chrom_num
173943-1,Achillea distans Waldst. & Kit. ex Willd.,NA,NA,54,C-ValueDB
173972-1,Achillea filipendulina Lam.,NA,NA,18,C-ValueDB
77067622-1,Achillea maritima (L.) Ehrend. & Y.P.Guo,18,n,NA,NA
2294-2,Achillea millefolium L.,54,n,"36, 54","C-ValueDB, Šmarda et al. 2019"
2332-2,Achillea nobilis L.,NA,NA,18,"C-ValueDB, Šmarda et al. 2019"
2336-2,Achillea ptarmica L.,18,n,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
707564-1,Aconitum lycoctonum L.,NA,NA,16,Šmarda et al. 2019
707615-1,Aconitum napellus L.,32,n,"16, 24, 32","Zonneveld, 2019"
84009-1,Acorus calamus L.,c.36,n,36,"C-ValueDB, Šmarda et al. 2019"
84019-1,Acorus gramineus Aiton,NA,NA,NA,NA
303913-2,Actaea spicata L.,NA,NA,16,Šmarda et al. 2019
325030-2,Adiantum capillus-veneris L.,60,p,60,"Zonneveld, 2019"
708062-1,Adonis annua L.,NA,NA,NA,NA
148240-1,Adoxa moschatellina L.,36,n,36,"C-ValueDB, Šmarda et al. 2019"
112674-1,Aegonychon purpureocaeruleum (L.) Holub,NA,NA,NA,NA
5849-2,Aegopodium podagraria L.,NA,NA,"22, 42, 44","Šmarda et al. 2019, Zonneveld, 2019"
272195-1,Aeonium balsamiferum Webb & Berthel.,NA,NA,NA,NA
272212-1,Aeonium cuneatum Webb & Berthel.,NA,NA,NA,NA
927643-1,Aesculus carnea J.Zeyh.,80,n,NA,NA
781594-1,Aesculus hippocastanum L.,40,n,40,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
60450399-2,Aesculus indica (Cambess.) Hook.,NA,NA,NA,NA
837341-1,Aethusa cynapium L.,20,n,20,"Šmarda et al. 2019, Zonneveld, 2019"
527283-1,Agapanthus praecox Willd.,NA,NA,NA,NA
319063-2,Agave americana L.,NA,NA,"60, 120",C-ValueDB
175500-1,Ageratum houstonianum Mill.,NA,NA,NA,NA
316550-2,Agrimonia eupatoria L.,28,n,28,"Šmarda et al. 2019, Zonneveld, 2019"
720304-1,Agrimonia procera Wallr.,56,n,56,"Šmarda et al. 2019, Zonneveld, 2019"
150316-1,Agrostemma githago L.,48,n,48,"Šmarda et al. 2019, Zonneveld, 2019"
385460-1,Agrostis avenacea J.F.Gmel.,NA,NA,NA,NA
385537-1,Agrostis canina L.,14,n,14,"Šmarda et al. 2019, Zonneveld, 2019"
30197865-2,Agrostis capillaris L.,28,s,28,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
271894-2,Agrostis castellana Boiss. & Reut.,NA,NA,NA,NA
385626-1,Agrostis curtisii Kerguélen,14,n,NA,NA
385783-1,Agrostis gigantea Roth,42,n,42,"Šmarda et al. 2019, Zonneveld, 2019"
385901-1,Agrostis lachnantha Nees,NA,NA,NA,NA
386271-1,Agrostis scabra Willd.,NA,NA,NA,NA
386353-1,Agrostis stolonifera L.,28,n,28,"Zonneveld, 2019"
386503-1,Agrostis vinealis Schreb.,28| c.56,vs,28,Šmarda et al. 2019
813521-1,Ailanthus altissima (Mill.) Swingle,NA,NA,"64, 80","Šmarda et al. 2019, Zonneveld, 2019"
386633-1,Aira caryophyllea L.,14,n,"14, 28","C-ValueDB, Zonneveld, 2019"
386818-1,Aira praecox L.,14,n,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
444546-1,Ajuga chamaepitys (L.) Schreb.,28,n,28,"Šmarda et al. 2019, Zonneveld, 2019"
444657-1,Ajuga pyramidalis L.,32,n,32,"Šmarda et al. 2019, Zonneveld, 2019"
444664-1,Ajuga reptans L.,32,n,32,Šmarda et al. 2019
558713-1,Alcea rosea L.,NA,NA,26-56,"Zonneveld, 2019"
721100-1,Alchemilla acutidens Buser,NA,NA,NA,NA
77120351-1,Alchemilla acutiloba Opiz,NA,NA,NA,NA
720359-1,Alchemilla alpina L.,140-144,n,NA,NA
720481-1,Alchemilla conjuncta Bab.,NA,NA,NA,NA
8074-2,Alchemilla filicaulis Buser,100-152,v,NA,NA
720597-1,Alchemilla glabra Neygenf.,NA,NA,"? ca 96, ?ca 100, 102-110",Šmarda et al. 2019
720605-1,Alchemilla glaucescens Wallr.,c.110,n,NA,NA
30256552-2,Alchemilla glomerulans Buser,NA,NA,NA,NA
721139-1,Alchemilla micans Buser,NA,NA,NA,NA
720770-1,Alchemilla minima Walters,c.98-c.110,v,NA,NA
720776-1,Alchemilla mollis (Buser) Rothm.,NA,NA,102-106,"Zonneveld, 2019"
20011043-1,Alchemilla monticola Opiz,NA,NA,101-110,Šmarda et al. 2019
721160-1,Alchemilla subcrenata Buser,NA,NA,NA,NA
721050-1,Alchemilla tytthantha Juz.,NA,NA,NA,NA
721062-1,Alchemilla venosa Juz.,NA,NA,NA,NA
721079-1,Alchemilla vulgaris L.,NA,NA,NA,NA
8171-2,Alchemilla wichurae (Buser) Stefánsson,NA,NA,NA,NA
721091-1,Alchemilla xanthochlora Rothm.,c.107,n,ca 105,Šmarda et al. 2019
77097302-1,Alisma gramineum Lej.,NA,NA,14,"Šmarda et al. 2019, Zonneveld, 2019"
1047073-2,Alisma lanceolatum With.,28,n,"26, 28","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30019518-2,Alisma plantago-aquatica L.,14,n,"14, 26","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
814247-1,Alkekengi officinarum Moench,NA,NA,NA,NA
1176324-2,Alliaria petiolata (M.Bieb.) Cavara & Grande,42,n,"36, 42","Šmarda et al. 2019, Zonneveld, 2019"
332079-2,Allium ampeloprasum L.,32| 48,v,32,C-ValueDB
527777-1,Allium carinatum L.,NA,NA,"16, 24","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
527795-1,Allium cepa L.,16,n,16,C-ValueDB
528431-1,Allium moly L.,NA,NA,14,C-ValueDB
528470-1,Allium neapolitanum Cirillo,NA,NA,14,C-ValueDB
528486-1,Allium nigrum L.,NA,NA,16,C-ValueDB
528525-1,Allium oleraceum L.,NA,NA,"24, 32, 40, 48, 56, 64","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
528569-1,Allium paniculatum L.,NA,NA,NA,NA
528578-1,Allium paradoxum (M.Bieb.) G.Don,16+ff,n,16,"C-ValueDB, Zonneveld, 2019"
528600-1,Allium pendulinum Ten.,NA,NA,"14, 18","Zonneveld, 2019"
528646-1,Allium porrum L.,32,n,32,C-ValueDB
528746-1,Allium roseum L.,NA,NA,16-40,"C-ValueDB, Zonneveld, 2019"
528796-1,Allium sativum L.,16,n,16,"C-ValueDB, Šmarda et al. 2019"
528823-1,Allium schoenoprasum L.,16,s,16,"C-ValueDB, Šmarda et al. 2019"
528834-1,Allium scorodoprasum L.,16,n,"16, 24, 28","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
528868-1,Allium siculum Ucria,NA,NA,18,C-ValueDB
528894-1,Allium sphaerocephalon L.,NA,NA,"16, 24",C-ValueDB
528944-1,Allium subhirsutum L.,NA,NA,14,C-ValueDB
529042-1,Allium trifoliatum Cyr.,NA,NA,21,C-ValueDB
529047-1,Allium triquetrum L.,NA,NA,18,C-ValueDB
529083-1,Allium unifolium Kellogg,NA,NA,14,C-ValueDB
529088-1,Allium ursinum L.,14,n,14,"Šmarda et al. 2019, Zonneveld, 2019"
529111-1,Allium vineale L.,32,s,32,Šmarda et al. 2019
294902-1,Alnus cordata (Loisel.) Duby,NA,NA,"28, 42","Zonneveld, 2019"
30036759-2,Alnus glutinosa (L.) Gaertn.,28,n,"28, 56","C-ValueDB, Šmarda et al. 2019"
30106706-2,Alnus incana (L.) Moench,NA,NA,28,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
294986-1,Alnus rubra Bong.,NA,NA,NA,NA
295013-1,Alnus viridis (Chaix) DC.,NA,NA,28,C-ValueDB
387005-1,Alopecurus aequalis Sobol.,14,n,14,"Šmarda et al. 2019, Zonneveld, 2019"
387047-1,Alopecurus bulbosus Gouan,14| 21| 28,v,"14, 21, 28","Zonneveld, 2019"
387091-1,Alopecurus geniculatus L.,28,n,28,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
387134-1,Alopecurus magellanicus Lam.,100| c.112| 117,v,100,C-ValueDB
387143-1,Alopecurus myosuroides Huds.,14,n,14,"Zonneveld, 2019"
387176-1,Alopecurus pratensis L.,28,n,28,"Šmarda et al. 2019, Zonneveld, 2019"
62457-1,Alstroemeria aurea Graham,NA,NA,"16, 24",C-ValueDB
558872-1,Althaea officinalis L.,42,n,42,"Šmarda et al. 2019, Zonneveld, 2019"
277314-1,Alyssum alyssoides (L.) L.,NA,NA,"16, 24, 32","Šmarda et al. 2019, Zonneveld, 2019"
327388-2,Amaranthus albus L.,NA,NA,"32, 34","Šmarda et al. 2019, Zonneveld, 2019"
10615-2,Amaranthus blitoides S.Watson,NA,NA,32,"Šmarda et al. 2019, Zonneveld, 2019"
10619-2,Amaranthus blitum L.,NA,NA,"16, 34","Šmarda et al. 2019, Zonneveld, 2019"
322180-2,Amaranthus bouchonii Thell.,NA,NA,NA,NA
316347-2,Amaranthus caudatus L.,NA,NA,"32, 34, 64","C-ValueDB, Zonneveld, 2019"
10631-2,Amaranthus cruentus L.,NA,NA,32,C-ValueDB
327382-2,Amaranthus deflexus L.,NA,NA,NA,NA
10641-2,Amaranthus graecizans L.,NA,NA,NA,NA
10648-2,Amaranthus hybridus L.,NA,NA,NA,NA
10665-2,Amaranthus hypochondriacus L.,NA,NA,32,C-ValueDB
327376-2,Amaranthus palmeri S.Watson,NA,NA,32,C-ValueDB
319617-2,Amaranthus powellii S.Watson,NA,NA,34,Šmarda et al. 2019
10698-2,Amaranthus retroflexus L.,NA,NA,"32, 34","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
327387-2,Amaranthus thunbergii Moq.,NA,NA,NA,NA
62705-1,Amaryllis belladonna L.,NA,NA,22,C-ValueDB
176058-1,Ambrosia artemisiifolia L.,NA,NA,36,"C-ValueDB, Šmarda et al. 2019"
30153070-2,Ambrosia psilostachya DC.,NA,NA,"72, 108, 144","Zonneveld, 2019"
315739-2,Ambrosia trifida L.,NA,NA,24,"Zonneveld, 2019"
721221-1,Amelanchier lamarckii F.G.Schroed.,NA,NA,68,"Zonneveld, 2019"
837486-1,Ammi majus L.,NA,NA,NA,NA
1141132-2,Ammophila arenaria (L.) Link,28,n,28,"C-ValueDB, Zonneveld, 2019"
112029-3,Amsinckia lycopsoides Lehm.,NA,NA,NA,NA
11845-2,Amsinckia micrantha Suksd.,NA,NA,NA,NA
998294-1,"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase",NA,NA,NA,NA
998308-1,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",36,n,NA,NA
615773-1,Anacamptis pyramidalis (L.) Rich.,NA,NA,36,"Šmarda et al. 2019, Zonneveld, 2019"
30173179-2,Anaphalis margaritacea (L.) Benth.,28,n,NA,NA
113203-1,Anchusa azurea Mill.,NA,NA,NA,NA
113308-1,Anchusa ochroleuca M.Bieb.,NA,NA,NA,NA
113312-1,Anchusa officinalis L.,NA,NA,16,"C-ValueDB, Šmarda et al. 2019"
30021967-2,Andromeda polifolia L.,48,n,48,"Šmarda et al. 2019, Zonneveld, 2019"
999638-1,Anemanthele lessoniana (Steud.) Veldkamp,NA,NA,NA,NA
708236-1,Anemone apennina L.,NA,NA,16,"Zonneveld, 2019"
708267-1,Anemone blanda Schott & Kotschy,NA,NA,NA,NA
13472-2,Anemone nemorosa L.,30| 32| 39,v,"30, 32, 16-46","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
13507-2,Anemone ranunculoides L.,NA,NA,32,"Šmarda et al. 2019, Zonneveld, 2019"
837530-1,Anethum graveolens L.,NA,NA,22,"C-ValueDB, Zonneveld, 2019"
837560-1,Angelica archangelica L.,NA,NA,22,"Zonneveld, 2019"
837722-1,Angelica pachycarpa Lange,NA,NA,NA,NA
837777-1,Angelica sylvestris L.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
388810-1,Anisantha diandra (Roth) Tutin ex Tzvelev,NA,NA,56,"Zonneveld, 2019"
388817-1,Anisantha madritensis (L.) Nevski,NA,NA,28,"Zonneveld, 2019"
13951-2,Anisantha rigida (Roth) Hyl.,NA,NA,NA,NA
388823-1,Anisantha sterilis (L.) Nevski,14,n,14,"Zonneveld, 2019"
388824-1,Anisantha tectorum (L.) Nevski,NA,NA,14,"Zonneveld, 2019"
1218005-2,Anoda cristata (L.) Schltdl.,NA,NA,60,"Zonneveld, 2019"
1042066-2,Anogramma leptophylla (L.) Link,26,n,NA,NA
30111520-2,Antennaria dioica (L.) Gaertn.,28,n,28,"Šmarda et al. 2019, Zonneveld, 2019"
177158-1,Anthemis arvensis L.,18,n,18,"Zonneveld, 2019"
177259-1,Anthemis cotula L.,18,n,18,"Zonneveld, 2019"
177538-1,Anthemis punctata Vahl,NA,NA,NA,NA
388999-1,Anthoxanthum aristatum Boiss.,NA,NA,10,"Zonneveld, 2019"
389034-1,Anthoxanthum odoratum L.,20,s,20,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
837912-1,Anthriscus caucalis M.Bieb.,14,n,14,"Zonneveld, 2019"
837913-1,Anthriscus cerefolium (L.) Hoffm.,NA,NA,18,Šmarda et al. 2019
837969-1,Anthriscus sylvestris (L.) Hoffm.,16,n,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
474795-1,Anthyllis vulneraria L.,12,n,12,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
799180-1,Antirrhinum majus L.,NA,NA,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
389070-1,Apera interrupta (L.) P.Beauv.,14,n,14,"Zonneveld, 2019"
1122912-2,Apera spica-venti (L.) P.Beauv.,NA,NA,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
721514-1,Aphanes arvensis L.,48,n,48,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
15934-2,Aphanes australis Rydb.,16,n,16,"Šmarda et al. 2019, Zonneveld, 2019"
838067-1,Apium graveolens L.,22,n,NA,NA
60445154-2,Aponogeton distachyos L.,NA,NA,NA,NA
360550-1,Aptenia cordifolia (L.f.) Schwantes,18,n,NA,NA
708997-1,Aquilegia pyrenaica DC.,NA,NA,NA,NA
306409-2,Aquilegia vulgaris L.,14,n,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
277940-1,Arabidopsis arenosa (L.) Lawalrée,NA,NA,"16, 18, 32","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
70029213-1,Arabidopsis petraea (L.) D.I.Dorof.,16,n,32,Šmarda et al. 2019
277970-1,Arabidopsis thaliana (L.) Heynh.,NA,NA,10,"Šmarda et al. 2019, Zonneveld, 2019"
277992-1,Arabis alpina L.,NA,NA,16,C-ValueDB
278095-1,Arabis caucasica Willd. ex Schltdl.,NA,NA,NA,NA
278114-1,Arabis collina Ten.,NA,NA,NA,NA
278269-1,Arabis hirsuta (L.) Scop.,32,n,32,"C-ValueDB, Šmarda et al. 2019"
278528-1,Arabis procurrens Waldst. & Kit.,NA,NA,NA,NA
278599-1,Arabis scabra All.,16,n,NA,NA
318562-2,Arachis hypogaea L.,NA,NA,40,C-ValueDB
89608-1,Aralia chinensis L.,NA,NA,NA,NA
89629-1,Aralia elata (Miq.) Seem.,NA,NA,24,"Zonneveld, 2019"
89765-1,Aralia racemosa L.,NA,NA,NA,NA
261681-1,Araucaria araucana (Molina) K.Koch,NA,NA,NA,NA
326526-1,Arbutus unedo L.,26,n,NA,NA
178385-1,Arctium lappa L.,36,n,36,"Šmarda et al. 2019, Zonneveld, 2019"
178406-1,Arctium minus (Hill) Bernh.,36,n,36,"Šmarda et al. 2019, Zonneveld, 2019"
77072591-1,Arctium nemorosum Lej.,36,n,36,Šmarda et al. 2019
17712-2,Arctium tomentosum Mill.,NA,NA,36,"Šmarda et al. 2019, Zonneveld, 2019"
17730-2,Arctostaphylos alpinus (L.) Spreng.,NA,NA,NA,NA
1024084-2,Arctostaphylos uva-ursi (L.) Spreng.,52,n,52,"Šmarda et al. 2019, Zonneveld, 2019"
178499-1,Arctotheca calendula (L.) Levyns,NA,NA,NA,NA
178531-1,Arctotis aspera L.,NA,NA,NA,NA
1000915-2,Aremonia agrimonioides (L.) DC.,NA,NA,NA,NA
150988-1,Arenaria balearica L.,NA,NA,NA,NA
151077-1,Arenaria ciliata L.,40,n,NA,NA
151355-1,Arenaria leptoclados (Rchb.) Guss.,20,n,20,"Zonneveld, 2019"
151459-1,Arenaria montana L.,NA,NA,NA,NA
151501-1,Arenaria norvegica Gunnerus,80,n,NA,NA
303826-2,Arenaria serpyllifolia L.,20| 40| 44,v,40,"C-ValueDB, Šmarda et al. 2019"
18816-2,Argemone mexicana L.,NA,NA,NA,NA
85894-1,Arisarum proboscideum (L.) Savi,NA,NA,NA,NA
77142512-1,Aristaloe aristata (Haw.) Boatwr. & J.C.Manning,NA,NA,NA,NA
389205-1,Aristavena setacea (Huds.) F.Albers & Butzin,14,n,NA,NA
435963-1,Aristea ecklonii Baker,NA,NA,NA,NA
92841-1,Aristolochia clematitis L.,NA,NA,14,Šmarda et al. 2019
93004-1,Aristolochia hirta L.,NA,NA,NA,NA
93291-1,Aristolochia rotunda L.,NA,NA,NA,NA
686233-1,Armeria arenaria (Pers.) F.Dietr.,NA,NA,NA,NA
19793-2,Armeria maritima (Mill.) Willd.,18,n,18,"Zonneveld, 2019"
278747-1,"Armoracia rusticana G.Gaertn., B.Mey. & Schreb.",NA,NA,32,Šmarda et al. 2019
140538-3,Arnoseris minima (L.) Schweigg. & Körte,18,n,18,Šmarda et al. 2019
30039608-2,Aronia arbutifolia (L.) Pers.,NA,NA,NA,NA
1109609-2,Aronia melanocarpa (Michx.) Elliott,NA,NA,NA,NA
389923-1,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl,28,n,28,"C-ValueDB, Šmarda et al. 2019"
306365-2,Artemisia abrotanum L.,NA,NA,"18, 36",C-ValueDB
300106-2,Artemisia absinthium L.,18,n,18,"C-ValueDB, Šmarda et al. 2019"
304416-2,Artemisia annua L.,NA,NA,18,C-ValueDB
305619-2,Artemisia biennis Willd.,NA,NA,NA,NA
309140-2,Artemisia campestris L.,NA,NA,"18,36","C-ValueDB, Šmarda et al. 2019"
307848-2,Artemisia dracunculus L.,NA,NA,"18, 36, 54, 72, 90",C-ValueDB
179785-1,Artemisia maritima L.,54,n,NA,NA
301762-2,Artemisia norvegica Fr.,18,n,NA,NA
180142-1,Artemisia stelleriana Besser,NA,NA,18,C-ValueDB
180264-1,Artemisia verlotiorum Lamotte,50| 52,v,48,C-ValueDB
20812-2,Artemisia vulgaris L.,16,n,"16, 36","C-ValueDB, Šmarda et al. 2019"
86047-1,Arum italicum Mill.,83| 84,v,84,"Zonneveld, 2019"
86067-1,Arum maculatum L.,56| 84,v,56,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
20973-2,Aruncus dioicus (Walter) Fernald,NA,NA,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
799434-1,Asarina procumbens Mill.,NA,NA,NA,NA
302682-2,Asarum europaeum L.,NA,NA,26,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
531229-1,Asparagus officinalis L.,20,n,"20, 40","C-ValueDB, Šmarda et al. 2019"
531263-1,Asparagus prostratus Dumort.,40| 80,v,NA,NA
743883-1,Asperula arvensis L.,NA,NA,NA,NA
743955-1,Asperula cynanchica L.,40,n,"22, 40, 44","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
744199-1,Asperula taurina L.,NA,NA,NA,NA
531456-1,Asphodelus albus Mill.,NA,NA,28,C-ValueDB
17038650-1,Asplenium adiantum-nigrum L.,144,p,NA,NA
17040860-1,Asplenium ceterach L.,144,n,144,"C-ValueDB, Šmarda et al. 2019"
17046950-1,Asplenium marinum L.,72,n,NA,NA
17304140-1,Asplenium obovatum Viv.,144,n,NA,NA
17048600-1,Asplenium onopteris L.,72,n,72,C-ValueDB
311563-2,Asplenium ruta-muraria L.,144,n,144,"C-ValueDB, Šmarda et al. 2019"
30216020-2,Asplenium scolopendrium L.,72,p,72,"C-ValueDB, Šmarda et al. 2019"
304469-2,Asplenium septentrionale (L.) Hoffm.,144,n,144,"C-ValueDB, Šmarda et al. 2019"
310197-2,Asplenium trichomanes L.,72| 108| 144,v,"72, 144","C-ValueDB, Šmarda et al. 2019"
17053570-1,Asplenium viride Huds.,72,n,72,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
790271-1,Astilbe chinensis (Maxim.) Franch. & Sav.,NA,NA,NA,NA
790289-1,Astilbe japonica (C.Morren & Decne.) A.Gray,NA,NA,NA,NA
24418-2,Astragalus alpinus L.,NA,NA,NA,NA
477044-1,Astragalus danicus Retz.,16,n,16,Šmarda et al. 2019
477635-1,Astragalus glycyphyllos L.,NA,NA,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
478948-1,Astragalus odoratus Lam.,NA,NA,NA,NA
838340-1,Astrantia major L.,NA,NA,NA,NA
30045965-2,Athyrium distentifolium Tausch ex Opiz,80,n,80,Šmarda et al. 2019
30055316-2,Athyrium filix-femina (L.) Roth,80,n,80,Šmarda et al. 2019
26334-2,Atriplex glabriuscula Edmondston,18,n,18,"Zonneveld, 2019"
163845-1,Atriplex halimus L.,NA,NA,NA,NA
272934-2,Atriplex hortensis L.,NA,NA,18,"Zonneveld, 2019"
163905-1,Atriplex laciniata L.,18,n,18,"Zonneveld, 2019"
308388-2,Atriplex littoralis L.,18| 36,v,18,"Zonneveld, 2019"
163935-1,Atriplex longipes Drejer,18,n,NA,NA
26419-2,Atriplex patula L.,36,n,36,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
164046-1,Atriplex pedunculata L.,NA,NA,NA,NA
164072-1,Atriplex portulacoides L.,36,n,36,"C-ValueDB, Zonneveld, 2019"
164074-1,Atriplex praecox Hülph.,18,n,NA,NA
60448217-2,Atriplex prostrata Boucher ex DC.,18,n,"18, 36","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
164128-1,Atriplex sagittata Borkh.,NA,NA,18,Šmarda et al. 2019
814358-1,Atropa belladonna L.,72,n,72,"C-ValueDB, Šmarda et al. 2019"
1055027-2,Aubrieta deltoidea (L.) DC.,NA,NA,16,C-ValueDB
271451-1,Aucuba japonica Thunb.,NA,NA,NA,NA
278817-1,Aurinia saxatilis (L.) Desv.,NA,NA,16,Šmarda et al. 2019
391337-1,Avena barbata Pott ex Link,28,n,28,C-ValueDB
391443-1,Avena fatua L.,42,n,42,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
391732-1,Avena sativa L.,42,n,42,C-ValueDB
391787-1,Avena sterilis L.,NA,NA,42,C-ValueDB
391799-1,Avena strigosa Schreb.,14,n,14,C-ValueDB
391947-1,Avenella flexuosa (L.) Drejer,14| 28,v,28,Šmarda et al. 2019
392028-1,Avenula pubescens (Huds.) Dumort.,14,n,14,"C-ValueDB, Šmarda et al. 2019"
17056950-1,Azolla filiculoides Lam.,NA,NA,44,Šmarda et al. 2019
319078-2,Baccharis halimifolia L.,NA,NA,18,"Zonneveld, 2019"
58276-1,Baldellia ranunculoides (L.) Parl.,16,n,NA,NA
444917-1,Ballota acetabulosa (L.) Benth.,NA,NA,NA,NA
444976-1,Ballota nigra L.,22,n,20,Šmarda et al. 2019
278866-1,Barbarea intermedia Boreau,NA,NA,16,"Zonneveld, 2019"
278905-1,Barbarea stricta Andrz.,NA,NA,"14, 16, 18","Šmarda et al. 2019, Zonneveld, 2019"
1109261-2,Barbarea verna (Mill.) Asch.,NA,NA,16,"Zonneveld, 2019"
29455-2,Barbarea vulgaris W.T.Aiton,16,n,16,"Šmarda et al. 2019, Zonneveld, 2019"
273085-2,Bartsia alpina L.,24,n,24,Šmarda et al. 2019
164422-1,Bassia scoparia (L.) Voss,NA,NA,18,"Zonneveld, 2019"
30332-2,Beckmannia syzigachne (Steud.) Fernald,NA,NA,NA,NA
184409-1,Bellis perennis L.,18,n,18,Šmarda et al. 2019
106394-1,Berberis aggregata C.K.Schneid.,NA,NA,28,"Zonneveld, 2019"
30074956-2,Berberis buxifolia Lam.,NA,NA,"28, 56",C-ValueDB
273235-2,Berberis darwinii Hook.,NA,NA,28,C-ValueDB
106670-1,Berberis gagnepainii C.K.Schneid.,NA,NA,NA,NA
106687-1,Berberis glaucocarpa Stapf,NA,NA,NA,NA
106800-1,Berberis julianae C.K.Schneid.,NA,NA,28,"Zonneveld, 2019"
107136-1,Berberis thunbergii DC.,NA,NA,28,"Zonneveld, 2019"
328527-2,Berberis vulgaris L.,NA,NA,28,"Zonneveld, 2019"
107208-1,Berberis wilsoniae Hemsl.,NA,NA,NA,NA
790358-1,Bergenia cordifolia (Haw.) Sternb.,NA,NA,NA,NA
790361-1,Bergenia crassifolia (L.) Fritsch,NA,NA,NA,NA
278924-1,Berteroa incana (L.) DC.,NA,NA,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
31836-2,Berula erecta (Huds.) Coville,NA,NA,"18, 20","Šmarda et al. 2019, Zonneveld, 2019"
164502-1,Beta trigyna Waldst. & Kit.,NA,NA,NA,NA
164505-1,Beta vulgaris L.,18,n,18,Šmarda et al. 2019
445133-1,Betonica officinalis L.,16,n,16,Šmarda et al. 2019
