kew_id,taxon_name,cited_name,sporophytic_chromosome_number,notes,unambiguous_match,number_identical_observations,,,,,
387134-1,Alopecurus magellanicus Lam.,"Alopecurus alpinus Sm., non Vill.",100,,n,1,,,,,
387134-1,Alopecurus magellanicus Lam.,"Alopecurus alpinus Sm., non Vill.",117,,n,1,,,,,
387143-1,Alopecurus myosuroides Huds.,Alopecurus myosuroides Huds.,14,,y,1,,,,,
387176-1,Alopecurus pratensis L.,Alopecurus pratensis L.,28,,y,15,,,,,
558872-1,Althaea officinalis L.,Althaea officinalis L.,42,,y,1,,,,,
1141132-2,Ammophila arenaria (L.) Link,Ammophila arenaria (L.) Link,28,,y,2,,,,,
998308-1,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",Orchis morio L.,36,,n,1,,,,,
30173179-2,Anaphalis margaritacea (L.) Benth.,Anaphalis margaritacea (L.) Benth.,28,,y,1,,,,,
30021967-2,Andromeda polifolia L.,Andromeda polifolia L.,48,,y,1,,,,,
13472-2,Anemone nemorosa L.,Anemone nemorosa L.,30,,y,14,,,,,
13472-2,Anemone nemorosa L.,Anemone nemorosa L.,32,,y,1,,,,,
13472-2,Anemone nemorosa L.,Anemone nemorosa L.,39,,y,1,,,,,
837777-1,Angelica sylvestris L.,Angelica sylvestris L.,22,,y,1,,,,,
388823-1,Anisantha sterilis (L.) Nevski,Anisantha sterilis (L.) Nevski,14,,y,2,,,,,
1042066-2,Anogramma leptophylla (L.) Link,Anogramma leptophylla (L.) Link,26,,y,1,,,,,
30111520-2,Antennaria dioica (L.) Gaertn.,Antennaria dioica (L.) Gaertn.,28,,y,2,,,,,
30111520-2,Antennaria dioica (L.) Gaertn.,Antennaria dioica var. dioica ,28,,n,1,,,,,
30111520-2,Antennaria dioica (L.) Gaertn.,Antennaria dioica var. hyperborea (Don) DC.,28,,n,1,,,,,
177158-1,Anthemis arvensis L.,Anthemis arvensis L.,18,,y,3,,,,,
177259-1,Anthemis cotula L.,Anthemis cotula L.,18,,y,6,,,,,
389034-1,Anthoxanthum odoratum L.,Anthoxanthum odoratum L.,,20 +0/1s,y,1,,,,,
389034-1,Anthoxanthum odoratum L.,Anthoxanthum odoratum L.,20,,y,15,,,,,
837912-1,Anthriscus caucalis M.Bieb.,Anthriscus caucalis M.Bieb.,14,,y,1,,,,,
837969-1,Anthriscus sylvestris (L.) Hoffm.,Anthriscus sylvestris (L.) Hoffm.,16,,y,3,,,,,
474795-1,Anthyllis vulneraria L.,Anthyllis vulneraria L.,12,,y,2,,,,,
474795-1,Anthyllis vulneraria L.,Anthyllis vulneraria subsp. vulneraria ,12,,n,1,,,,,
389070-1,Apera interrupta (L.) P.Beauv.,Apera interrupta (L.) P.Beauv.,14,,y,1,,,,,
721514-1,Aphanes arvensis L.,Aphanes arvensis L.,48,,y,1,,,,,
15934-2,Aphanes australis Rydb.,Aphanes inexspectata W.Lippert,16,,n,1,,,,,
838067-1,Apium graveolens L.,Apium graveolens L.,22,,y,1,,,,,
360550-1,Aptenia cordifolia (L.f.) Schwantes,Aptenia cordifolia (L.f.) Schwantes,18,,y,2,,,,,
306409-2,Aquilegia vulgaris L.,Aquilegia vulgaris L.,14,,y,2,,,,,
70029213-1,Arabidopsis petraea (L.) D.I.Dorof.,Cardaminopsis petraea (L.) Hiitonen,16,,n,2,,,,,
278269-1,Arabis hirsuta (L.) Scop.,Arabis hirsuta (L.) Scop.,32,,y,5,,,,,
278599-1,Arabis scabra All.,Arabis stricta Huds.,16,,n,1,,,,,
326526-1,Arbutus unedo L.,Arbutus unedo L.,26,,y,1,,,,,
178385-1,Arctium lappa L.,Arctium lappa L.,36,,y,1,,,,,
178406-1,Arctium minus (Hill) Bernh.,Arctium minus (Hill) Bernh.,36,,y,1,,,,,
178406-1,Arctium minus (Hill) Bernh.,Arctium minus subsp. minus ,36,,n,2,,,,,
77072591-1,Arctium nemorosum Lej.,Arctium minus subsp. nemorosum (Lej.) Syme,36,,n,1,,,,,
1024084-2,Arctostaphylos uva-ursi (L.) Spreng.,Arctostaphylos uva-ursi (L.) Spreng.,52,,y,1,,,,,
151077-1,Arenaria ciliata L.,Arenaria ciliata L.,40,,y,1,,,,,
151077-1,Arenaria ciliata L.,Arenaria ciliata subsp. ciliata var. hibernica ,40,,n,1,,,,,
151355-1,Arenaria leptoclados (Rchb.) Guss.,Arenaria leptoclados (Rchb.) Guss.,20,,y,1,,,,,
151501-1,Arenaria norvegica Gunnerus,"Arenaria gothica auct., non Fr.",80,,n,2,,,,,
151501-1,Arenaria norvegica Gunnerus,Arenaria norvegica Gunnerus,80,,y,2,,,,,
303826-2,Arenaria serpyllifolia L.,Arenaria serpyllifolia L.,20,,y,1,,,,,
303826-2,Arenaria serpyllifolia L.,Arenaria serpyllifolia L.,40,,y,2,,,,,
303826-2,Arenaria serpyllifolia L.,Arenaria serpyllifolia L.,44,,y,1,,,,,
389205-1,Aristavena setacea (Huds.) F.Albers & Butzin,Deschampsia setacea (Huds.) Hack.,14,,n,2,,,,,
19793-2,Armeria maritima (Mill.) Willd.,Armeria maritima subsp. elongata (Hoffm.) Bonnier,18,,n,2,,,,,
19793-2,Armeria maritima (Mill.) Willd.,Armeria maritima subsp. maritima ,18,,n,16,,,,,
140538-3,Arnoseris minima (L.) Schweigg. & Körte,Arnoseris minima (L.) Schweigg. & Körte,18,,y,2,,,,,
389923-1,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl,28,,y,3,,,,,
389923-1,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl,Arrhenatherum tuberosum (Gilib.) Druce,28,,n,1,,,,,
300106-2,Artemisia absinthium L.,Artemisia absinthium L.,18,,y,2,,,,,
179785-1,Artemisia maritima L.,Artemisia maritima subsp. maritima var. maritima ,54,,n,1,,,,,
179785-1,Artemisia maritima L.,Seriphidium maritimum (L.) Poljakow,54,,n,1,,,,,
301762-2,Artemisia norvegica Fr.,Artemisia norvegica Fr.,18,,y,1,,,,,
301762-2,Artemisia norvegica Fr.,Artemisia norvegica var. scotica Hulten,18,,n,1,,,,,
180264-1,Artemisia verlotiorum Lamotte,Artemisia verlotiorum Lamotte,50,,y,1,,,,,
180264-1,Artemisia verlotiorum Lamotte,Artemisia verlotiorum Lamotte,52,,y,1,,,,,
20812-2,Artemisia vulgaris L.,Artemisia vulgaris L.,16,,y,5,,,,,
