kew_id,taxon_name,cited_name,sporophytic_chromosome_number,notes,unambiguous_match,number_identical_observations,,,,,
229484-1,Leontodon saxatilis Lam.,Leontodon taraxacoides (Vill.) Willd. ex Mérat,12,,n,2,,,,,
449168-1,Leonurus cardiaca L.,Leonurus cardiaca L.,18,,y,1,,,,,
286087-1,Lepidium campestre (L.) W.T.Aiton,Lepidium campestre (L.) W.T.Aiton,16,,y,1,,,,,
286148-1,Lepidium didymum L.,Coronopus didymus (L.) Sm.,32,,n,1,,,,,
286210-1,Lepidium heterophyllum Benth.,Lepidium heterophyllum Benth.,16,,y,2,,,,,
286262-1,Lepidium latifolium L.,Lepidium latifolium L.,24,,y,1,,,,,
30296198-2,Leucanthemum vulgare Lam.,Chrysanthemum leucanthemum L.,18,,n,17,,,,,
30296198-2,Leucanthemum vulgare Lam.,Chrysanthemum leucanthemum L.,36,,n,29,,,,,
30296198-2,Leucanthemum vulgare Lam.,Leucanthemum vulgare Lam.,,18 +0-3s,y,1,,,,,
30296198-2,Leucanthemum vulgare Lam.,Leucanthemum vulgare Lam.,,36 +1s,y,1,,,,,
30296198-2,Leucanthemum vulgare Lam.,Leucanthemum vulgare Lam.,,36 +3s,y,2,,,,,
30296198-2,Leucanthemum vulgare Lam.,Leucanthemum vulgare Lam.,18,,y,175,,,,,
30296198-2,Leucanthemum vulgare Lam.,Leucanthemum vulgare Lam.,27,,y,1,,,,,
30296198-2,Leucanthemum vulgare Lam.,Leucanthemum vulgare Lam.,36,,y,177,,,,,
407309-1,Leymus arenarius (L.) Hochst.,Leymus arenarius (L.) Hochst.,,56 +3s,y,1,,,,,
407309-1,Leymus arenarius (L.) Hochst.,Leymus arenarius (L.) Hochst.,56,,y,1,,,,,
844602-1,Ligusticum scoticum L.,Ligusticum scoticum L.,22,,y,1,,,,,
610130-1,Ligustrum vulgare L.,Ligustrum vulgare L.,46,,y,1,,,,,
230899-1,Limbarda crithmoides (L.) Dumort.,Inula crithmoides L.,18,,n,2,,,,,
50882052-1,Limonium auriculae-ursifolium (Pourr.) Druce,Limonium auriculae-ursifolium (Pourr.) Druce,25,,y,1,,,,,
686660-1,Limonium bellidifolium (Gouan) Dumort.,Limonium bellidifolium (Gouan) Dumort.,18,,y,2,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum (G.E.Sm.) C.E.Salmon,,34-36 (mixoploid),y,1,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum (G.E.Sm.) C.E.Salmon,,35(mode)| (&36 mixoploid),y,1,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum (G.E.Sm.) C.E.Salmon,32,,y,1,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum (G.E.Sm.) C.E.Salmon,35,,y,2,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. anglicum Ingr.,,35(mode)| (&32 mixoploid),n,1,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. anglicum Ingr.,,35(mode)| (&32-36 mixoploid),n,1,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. anglicum Ingr.,35,,n,5,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. binervosum ,35,,n,1,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. cantianum Ingr.,35,,n,3,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. sarniense var. aurigniense Ingr.,35,,n,1,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. sarniense var. sarniense Ingr.,,33| 35 (mixoploid),n,1,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. sarniense var. sarniense Ingr.,,34(mode)| (&32-34 mixoploid),n,1,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. sarniense var. sarniense Ingr.,,35(mode)| (&34 mixoploid),n,2,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. sarniense var. sarniense Ingr.,35,,n,3,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. sarniense var. serquense Ingr.,35,,n,1,,,,,
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,Limonium binervosum subsp. saxonicum Ingr.,35,,n,1,,,,,
929581-1,Limonium britannicum Ingr.,Limonium britannicum subsp. britannicum var. kelseyanum Ingr.,36,,n,1,,,,,
929581-1,Limonium britannicum Ingr.,Limonium britannicum subsp. celticum var. celticum Ingr.,35,,n,2,,,,,
929581-1,Limonium britannicum Ingr.,Limonium britannicum subsp. celticum var. celticum Ingr.,36,,n,1,,,,,
929581-1,Limonium britannicum Ingr.,Limonium britannicum subsp. celticum var. pharense Ingr.,35,,n,2,,,,,
929581-1,Limonium britannicum Ingr.,Limonium britannicum subsp. celticum var. pharense Ingr.,36,,n,1,,,,,
929581-1,Limonium britannicum Ingr.,Limonium britannicum subsp. coombense var. coombense Ingr.,35,,n,1,,,,,
929581-1,Limonium britannicum Ingr.,Limonium britannicum subsp. transcanalis Ingr.,35,,n,2,,,,,
929584-1,Limonium dodartiforme Ingr.,Limonium dodartiforme Ingr.,35,,y,1,,,,,
686810-1,Limonium humile Mill.,Limonium humile Mill.,,36(mode)| (&38 mixoploid),y,1,,,,,
686810-1,Limonium humile Mill.,Limonium humile Mill.,,54(mode)| (&49 mixoploid),y,1,,,,,
686810-1,Limonium humile Mill.,Limonium humile Mill.,48,,y,1,,,,,
686810-1,Limonium humile Mill.,Limonium humile Mill.,50,,y,1,,,,,
686810-1,Limonium humile Mill.,Limonium humile Mill.,51,,y,1,,,,,
686810-1,Limonium humile Mill.,Limonium humile Mill.,52,,y,1,,,,,
686810-1,Limonium humile Mill.,Limonium humile Mill.,54,,y,7,,,,,
686810-1,Limonium humile Mill.,Limonium rariflorum Kuntze,36,,n,1,,,,,
896540-1,Limonium hyblaeum Brullo,"Limonium companyonis sensu Ingr.et auct., non (Gren. & Billot) Kuntze",35,,n,1,,,,,
896540-1,Limonium hyblaeum Brullo,"Limonium companyonis sensu Ingr.et auct., non (Gren. & Billot) Kuntze",36,,n,1,,,,,
929583-1,Limonium loganicum Ingr.,Limonium loganicum Ingr.,36,,y,1,,,,,
906537-1,Limonium normannicum Ingr.,Limonium normannicum Ingr.,25,,y,2,,,,,
686910-1,Limonium paradoxum Pugsley,Limonium paradoxum var. mutabile Ingr.,36,,n,2,,,,,
686910-1,Limonium paradoxum Pugsley,Limonium paradoxum var. paradoxum ,33,,n,2,,,,,
929582-1,Limonium parvum Ingr.,Limonium parvum Ingr.,35,,y,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum (C.E.Salmon) Ingr.,35,,y,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. cambrense Ingr.,35,,n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. devoniense Ingr.,35,,n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum ,35,,n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. cornubiense Ingr.,,33-36 (mixoploid),n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. hibernicum Ingr.,35,,n,3,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. hibernicum Ingr.,36,,n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. medium Ingr.,35,,n,3,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. paramedium Ingr.,36,,n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. paramedium Ingr.,37,,n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. procerum ,,34(mode)| (&35 mixoploid),n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. procerum ,,35(mode)| (&32 mixoploid),n,2,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. procerum ,,35(mode)| (&32| 34 mixoploid),n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. procerum ,,35(mode)| (&33 mixoploid),n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. procerum ,,35(mode)| (&34-36 mixoploid),n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. procerum ,,35(mode)| (&36 mixoploid),n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. procerum ,,36(mode)| (&35 mixoploid),n,1,,,,,
942622-1,Limonium procerum (C.E.Salmon) Ingr.,Limonium procerum subsp. procerum var. procerum ,35,,n,5,,,,,
686945-1,Limonium recurvum C.E.Salmon,Limonium recurvum subsp. humile var. donegalense Ingr.,27,,n,3,,,,,
686945-1,Limonium recurvum C.E.Salmon,Limonium recurvum subsp. humile var. humile (Girard) Ingr.,27,,n,2,,,,,
686945-1,Limonium recurvum C.E.Salmon,Limonium recurvum subsp. humile var. humile (Girard) Ingr.,35,,n,1,,,,,
686945-1,Limonium recurvum C.E.Salmon,Limonium recurvum subsp. humile var. pseudoparadoxum Ingr.,27,,n,1,,,,,
686945-1,Limonium recurvum C.E.Salmon,Limonium recurvum subsp. portlandicum var. kerryense Ingr.,27,,n,1,,,,,
686945-1,Limonium recurvum C.E.Salmon,Limonium recurvum subsp. portlandicum var. portlandicum Ingr.,27,,n,1,,,,,
686945-1,Limonium recurvum C.E.Salmon,Limonium recurvum subsp. portlandicum var. recurviforme Ingr.,27,,n,1,,,,,
686945-1,Limonium recurvum C.E.Salmon,Limonium recurvum subsp. pseudotranswallianum Ingr.,27,,n,3,,,,,
686945-1,Limonium recurvum C.E.Salmon,Limonium recurvum subsp. recurvum ,27,,n,3,,,,,
687018-1,Limonium transwallianum (Pugsley) Pugsley,Limonium transwallianum (Pugsley) Pugsley,,35(mode)| (&36 mixoploid),y,1,,,,,
687018-1,Limonium transwallianum (Pugsley) Pugsley,Limonium transwallianum (Pugsley) Pugsley,35,,y,1,,,,,
687035-1,Limonium vulgare Mill.,Limonium vulgare Mill.,32,,y,1,,,,,
687035-1,Limonium vulgare Mill.,Limonium vulgare Mill.,36,,y,2,,,,,
804380-1,Limosella aquatica L.,Limosella aquatica L.,40,,y,1,,,,,
329497-2,Limosella australis R.Br.,Limosella subulata E.Ives,20,,n,1,,,,,
325777-2,Linaria vulgaris Mill.,Linaria vulgaris Mill.,12,,y,2,,,,,
140689-2,Linnaea borealis L.,Linnaea borealis L.,32,,y,1,,,,,
544373-1,Linum bienne Mill.,Linum bienne Mill.,30,,y,1,,,,,
544405-1,Linum catharticum L.,Linum catharticum L.,16,,y,1,,,,,
544634-1,Linum perenne L.,Linum perenne subsp. anglicum (Mill.) Ockendon,36,,n,10,,,,,
544664-1,Linum radiola L.,Radiola linoides Roth,18,,n,1,,,,,
544772-1,Linum usitatissimum L.,Linum usitatissimum L.,,30 +2s,n,1,,,,,
77121012-1,"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch",Chenopodium polyspermum L.,18,,n,3,,,,,
118163-1,Lithospermum officinale L.,Lithospermum officinale L.,,28 +1s,y,1,,,,,
684810-1,Littorella uniflora (L.) Asch.,Littorella uniflora (L.) Asch.,24,,y,4,,,,,
143206-1,Lobelia dortmanna L.,Lobelia dortmanna L.,14,,y,2,,,,,
407486-1,Lolium multiflorum Lam.,Lolium perenne var. multiflorum (Lam.),14,,n,1,,,,,
407493-1,Lolium perenne L.,Lolium perenne L.,14,,y,4,,,,,
149006-1,Lonicera periclymenum L.,Lonicera periclymenum L.,,c.54,y,2,,,,,
149006-1,Lonicera periclymenum L.,Lonicera periclymenum L.,18,,y,1,,,,,
149006-1,Lonicera periclymenum L.,Lonicera periclymenum L.,54,,y,4,,,,,
503465-1,Lotus angustissimus L.,Lotus angustissimus L.,12,,y,2,,,,,
30179739-2,Lotus corniculatus L.,Lotus corniculatus L.,24,,y,6,,,,,
503822-1,Lotus pedunculatus Cav.,Lotus pedunculatus Cav.,12,,y,2,,,,,
503822-1,Lotus pedunculatus Cav.,Lotus uliginosus Schkuhr,12,,n,1,,,,,
503900-1,Lotus subbiflorus Lag.,"Lotus hispidus auct., non DC.",24,,n,2,,,,,
503917-1,Lotus tenuis Waldst. & Kit. ex Willd.,Lotus tenuis Waldst. & Kit. ex Willd.,12,,y,1,,,,,
943788-1,Ludwigia grandiflora (Michx.) Greuter & Burdet,Ludwigia grandiflora subsp. hexapetala (Hook. & Arn.) G.L.Nesom & Kartesz,80,,n,13,,,,,
30031106-2,Ludwigia palustris (L.) Elliott,Ludwigia palustris (L.) Elliott,16,,y,1,,,,,
145614-2,Lupinus nootkatensis Donn ex Sims,Lupinus nootkatensis Donn ex Sims,48,,y,1,,,,,
58435-1,Luronium natans (L.) Raf.,Luronium natans (L.) Raf.,38,,y,2,,,,,
443746-1,Luzula campestris (L.) DC.,Luzula campestris (L.) DC.,12,,y,7,,,,,
443746-1,Luzula campestris (L.) DC.,Luzula campestris subsp. campestris ,12,,n,5,,,,,
443795-1,Luzula forsteri (Sm.) DC.,Luzula forsteri (Sm.) DC.,24,,y,1,,,,,
146224-2,Luzula luzuloides (Lam.) Dandy & Wilmott,Luzula luzuloides (Lam.) Dandy & Wilmott,12,,y,1,,,,,
1159940-2,Luzula multiflora (Ehrh.) Lej.,Luzula congesta (Thuill.) Lej.,48,,n,22,,,,,
1159940-2,Luzula multiflora (Ehrh.) Lej.,Luzula multiflora (Ehrh.) Lej.,,c.30,y,3,,,,,
1159940-2,Luzula multiflora (Ehrh.) Lej.,Luzula multiflora (Ehrh.) Lej.,,c.36,y,1,,,,,
1159940-2,Luzula multiflora (Ehrh.) Lej.,Luzula multiflora (Ehrh.) Lej.,36,,y,7,,,,,
1159940-2,Luzula multiflora (Ehrh.) Lej.,Luzula multiflora subsp. hibernica Kirschner & T.C.G.Rich,24,,n,13,,,,,
146239-2,Luzula pallescens Sw.,Luzula pallescens Sw.,12,,y,2,,,,,
443907-1,Luzula pilosa (L.) Willd.,Luzula pilosa (L.) Willd.,,c.60,y,1,,,,,
443907-1,Luzula pilosa (L.) Willd.,Luzula pilosa (L.) Willd.,62,,y,1,,,,,
443907-1,Luzula pilosa (L.) Willd.,Luzula pilosa (L.) Willd.,66,,y,2,,,,,
443940-1,Luzula spicata (L.) DC.,Luzula spicata (L.) DC.,24,,y,1,,,,,
20009373-1,Luzula sylvatica (Huds.) Gaudin,Luzula sylvatica (Huds.) Gaudin,12,,y,4,,,,,
146933-2,Lycopodiella inundata (L.) Holub,Lycopodium inundatum L.,156,,n,1,,,,,
304983-2,Lycopodium annotinum L.,Lycopodium annotinum L.,,c.68,y,1,,,,,
304307-2,Lycopodium clavatum L.,Lycopodium clavatum L.,68,,y,2,,,,,
449641-1,Lycopus europaeus L.,Lycopus europaeus L.,22,,y,4,,,,,
77100386-1,Lysimachia arvensis (L.) U.Manns & Anderb.,Anagallis arvensis subsp. arvensis ,40,,n,1,,,,,
77100395-1,Lysimachia europaea (L.) U.Manns & Anderb.,Trientalis europaea L.,,c.160,n,1,,,,,
77068343-1,"Lysimachia maritima (L.) Galasso, Banfi & Soldano",Glaux maritima L.,30,,n,3,,,,,
701254-1,Lysimachia nemorum L.,Lysimachia nemorum L.,16,,y,2,,,,,
701254-1,Lysimachia nemorum L.,Lysimachia nemorum L.,18,,y,1,,,,,
701260-1,Lysimachia nummularia L.,Lysimachia nummularia L.,43,,y,1,,,,,
701308-1,Lysimachia punctata L.,Lysimachia punctata L.,30,,y,1,,,,,
701308-1,Lysimachia punctata L.,Lysimachia verticillaris Spreng.,30,,n,1,,,,,
701384-1,Lysimachia tenella L.,Anagallis tenella (L.) L.,22,,n,6,,,,,
701414-1,Lysimachia vulgaris L.,Lysimachia vulgaris L.,84,,y,2,,,,,
553777-1,Lythrum portula (L.) D.A.Webb,Lythrum portula (L.) D.A.Webb,10,,y,2,,,,,
147990-2,Lythrum salicaria L.,Lythrum salicaria L.,,60 +1/2s,y,1,,,,,
30042358-2,Maianthemum bifolium (L.) F.W.Schmidt,Maianthemum bifolium (L.) F.W.Schmidt,,38?,y,1,,,,,
30042358-2,Maianthemum bifolium (L.) F.W.Schmidt,Maianthemum bifolium (L.) F.W.Schmidt,,c.42,y,1,,,,,
30042358-2,Maianthemum bifolium (L.) F.W.Schmidt,Maianthemum bifolium (L.) F.W.Schmidt,36,,y,1,,,,,
726282-1,Malus domestica (Suckow) Borkh.,Pyrus malus L. [cultivated],34,,n,24,,,,,
726282-1,Malus domestica (Suckow) Borkh.,Pyrus malus L. [cultivated],51,,n,5,,,,,
561541-1,Malva arborea (L.) Webb & Berthel.,Malva arborea (L.) Webb & Berthol.,36,,n,1,,,,,
561790-1,Malva moschata L.,Malva moschata L.,42,,y,1,,,,,
561795-1,Malva neglecta Wallr.,Malva neglecta Wallr.,42,,y,1,,,,, 
561932-1,Malva sylvestris L.,Malva sylvestris L.,42,,y,2,,,,,
449990-1,Marrubium vulgare L.,Marrubium vulgare L.,34,,y,3,,,,,
154715-2,Matricaria chamomilla L.,Matricaria chamomilla L.,18,,y,1,,,,,
154715-2,Matricaria chamomilla L.,Matricaria recutita L.,18,,n,4,,,,,
154716-2,Matricaria discoidea DC.,"Matricaria matricarioides (Less.) Porter, pro parte",18,,n,1,,,,,
154716-2,Matricaria discoidea DC.,Matricaria suaveolens (Pursh) Buchenau,18,,n,1,,,,,
286910-1,Matthiola incana (L.) W.T.Aiton,Matthiola incana (L.) W.T.Aiton,14,,y,3,,,,,
286966-1,Matthiola sinuata (L.) W.T.Aiton,Matthiola sinuata (L.) W.T.Aiton,14,,y,1,,,,,
58427-3,Medicago arabica (L.) Huds.,Medicago arabica (L.) Huds.,16,,y,1,,,,,
506268-1,Medicago lupulina L.,Medicago lupulina L.,16,,y,3,,,,,
30234961-2,Medicago sativa L.,Medicago sativa subsp. sativa ,32,,n,1,,,,,
805650-1,Melampyrum cristatum L.,Melampyrum cristatum L.,18,,y,1,,,,,
408086-1,Melica nutans L.,Melica nutans L.,18,,y,1,,,,,
408184-1,Melica uniflora Retz.,Melica uniflora Retz.,18,,y,1,,,,,
450128-1,Melittis melissophyllum L.,Melittis melissophyllum L.,30,,y,1,,,,,
450192-1,Mentha aquatica L.,Mentha aquatica L.,96,,y,14,,,,,
30026217-2,Mentha arvensis L.,Mentha arvensis L.,72,,y,7,,,,,
451022-1,Mentha pulegium L.,Mentha pulegium L.,20,,y,2,,,,,
451048-1,Mentha requienii Benth.,Mentha requienii Benth.,18,,y,1,,,,,
451162-1,Mentha spicata L.,Mentha scotica R.A.Graham,48,,n,2,,,,,
451162-1,Mentha spicata L.,Mentha spicata L.,36,,y,3,,,,,
451162-1,Mentha spicata L.,Mentha spicata L.,48,,y,10,,,,,
451162-1,Mentha spicata L.,Mentha spicata var. ciliata Druce,36,,n,1,,,,,
451162-1,Mentha spicata L.,Mentha spicata var. lacerata ,48,,n,1,,,,,
451188-1,Mentha suaveolens Ehrh.,Mentha suaveolens Ehrh.,24,,y,2,,,,,
50970102-1,Menyanthes trifoliata L.,Menyanthes trifoliata L.,54,,y,1,,,,,
352211-1,Mercurialis perennis L.,Mercurialis perennis L.,64,,y,2,,,,,
118618-1,Mertensia maritima (L.) Gray,Mertensia maritima (L.) Gray,24,,y,1,,,,,
844931-1,Meum athamanticum Jacq.,Meum athamanticum Jacq.,22,,y,1,,,,,
1122217-2,Mibora minima (L.) Desv.,Mibora minima (L.) Desv.,14,,y,2,,,,,
77068348-1,"Micranthes stellaris (L.) Galasso, Banfi & Soldano",Saxifraga stellaris L.,28,,n,2,,,,,
408599-1,Milium effusum L.,Milium effusum L.,28,,y,4,,,,,
408697-1,Milium vernale M.Bieb.,Milium scabrum Rich.,8,,n,2,,,,,
155772-1,Moehringia trinervia (L.) Clairv.,Moehringia trinervia (L.) Clairv.,24,,y,1,,,,,
155781-1,"Moenchia erecta (L.) P.Gaertn., B.Mey. & Scherb.","Moenchia erecta (L.) P.Gaertn., B.Mey. & Scherb.",36,,y,1,,,,,
98382-3,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,36,,y,3,,,,,
98382-3,Molinia caerulea (L.) Moench,Molinia caerulea subsp. caerulea ,36,,n,2,,,,,
311155-2,Montia fontana L.,Montia fontana L.,20,,y,1,,,,,
233981-1,Mycelis muralis (L.) Dumort.,Mycelis muralis (L.) Dumort.,18,,y,4,,,,,
118892-1,Myosotis alpestris F.W.Schmidt,Myosotis alpestris F.W.Schmidt,48,,y,3,,,,,
119235-1,Myosotis scorpioides L.,Myosotis scorpioides L.,64,,y,1,,,,,
50867662-1,Myosotis secunda Al.Murray,Myosotis secunda Al.Murray,48,,y,3,,,,,
77120068-1,Myosotis stolonifera (DC.) J.Gay ex Leresche & Levier,Myosotis stolonifera (DC.) J.Gay ex Leresche & Levier,24,,y,3,,,,,
119282-1,Myosotis sylvatica Ehrh. ex Hoffm.,Myosotis sylvatica Ehrh. ex Hoffm.,18,,y,2,,,,,
300581-2,Myrica gale L.,Myrica gale L.,48,,y,1,,,,,
430392-1,Myriophyllum alterniflorum DC.,Myriophyllum alterniflorum DC.,14,,y,15,,,,,
430465-1,Myriophyllum spicatum L.,Myriophyllum spicatum L.,42,,y,1,,,,,
430479-1,Myriophyllum verticillatum L.,Myriophyllum verticillatum L.,28,,y,1,,,,,
845120-1,Myrrhis odorata (L.) Scop.,Myrrhis odorata (L.) Scop.,22,,y,1,,,,,
30063340-2,Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt,Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt,24,,y,1,,,,,
66048-1,Narcissus obvallaris Salisb.,Narcissus pseudonarcissus subsp. obvallaris (Salisb.) A.Fern.,21,,n,1,,,,,
66165-1,Narcissus poeticus L.,Narcissus poeticus L.,14,,y,1,,,,,
66177-1,Narcissus pseudonarcissus L.,Narcissus pseudonarcissus subsp. pseudonarcissus ,14,,n,1,,,,,
66177-1,Narcissus pseudonarcissus L.,Narcissus pseudonarcissus subsp. pseudonarcissus ,43,,n,1,,,,,
66240-1,Narcissus tazetta L.,Narcissus tazetta L. [cultivated],20,,y,1,,,,,
409307-1,Nardus stricta L.,Nardus stricta L.,26,,y,10,,,,,
538658-1,Narthecium ossifragum (L.) Huds.,Narthecium ossifragum (L.) Huds.,26,,y,1,,,,,
287496-1,Nasturtium microphyllum (Boenn.) Rchb.,Nasturtium microphyllum (Boenn.) Rchb.,64,,y,1,,,,,
287496-1,Nasturtium microphyllum (Boenn.) Rchb.,Nasturtium uniseriatum H.W.Howard & Manton,64,,n,3,,,,,
287534-1,Nasturtium officinale W.T.Aiton,Nasturtium officinale W.T.Aiton,32,,y,6,,,,,
645363-1,Neottia ovata (L.) Bluff & Fingerh.,Listera ovata (L.) R.Br.,,34 +0-5s,n,1,,,,,
645363-1,Neottia ovata (L.) Bluff & Fingerh.,Listera ovata (L.) R.Br.,,34 +0-Ns,n,24,,,,,
645363-1,Neottia ovata (L.) Bluff & Fingerh.,Listera ovata (L.) R.Br.,,36 +1s,n,1,,,,,
645363-1,Neottia ovata (L.) Bluff & Fingerh.,Listera ovata (L.) R.Br.,34,,n,1,,,,,
645363-1,Neottia ovata (L.) Bluff & Fingerh.,Listera ovata (L.) R.Br.,35,,n,1,,,,,
645363-1,Neottia ovata (L.) Bluff & Fingerh.,Listera ovata (L.) R.Br.,36,,n,2,,,,,
452333-1,Nepeta cataria L.,Nepeta cataria L.,34,,y,2,,,,,
452333-1,Nepeta cataria L.,Nepeta cataria L.,36,,y,1,,,,,
287737-1,Noccaea caerulescens (J. & C.Presl) F.K.Mey.,"Thlaspi alpestre L., non Jacq.",14,,n,11,,,,,
30385379-2,Nuphar lutea (L.) Sm.,Nuphar lutea (L.) Sm.,34,,y,3,,,,,
605460-1,Nuphar pumila (Timm) DC.,Nuphar pumila (Timm) DC.,34,,y,1,,,,,
171158-2,Nymphaea alba L.,Nymphaea alba L.,84,,y,3,,,,,
370207-1,Nymphoides peltata Kuntze,Nymphoides peltata Kuntze,54,,y,1,,,,,
845226-1,Oenanthe aquatica (L.) Poir.,Oenanthe aquatica (L.) Poir.,22,,y,1,,,,,
845253-1,Oenanthe crocata L.,Oenanthe crocata L.,22,,y,3,,,,,
845277-1,Oenanthe fistulosa L.,Oenanthe fistulosa L.,22,,y,1,,,,,
845278-1,Oenanthe fluviatilis (Bab.) Coleman,Oenanthe fluviatilis (Bab.) Coleman,22,,y,1,,,,,
845312-1,Oenanthe lachenalii C.C.Gmel.,Oenanthe lachenalii C.C.Gmel.,22,,y,2,,,,,
845351-1,Oenanthe pimpinelloides L.,Oenanthe pimpinelloides L.,22,,y,1,,,,,
845379-1,Oenanthe silaifolia M.Bieb.,Oenanthe silaifolia M.Bieb.,22,,y,1,,,,,
172755-2,Oenothera biennis L.,Oenothera cambrica Rostanski,14,,n,1,,,,,
235192-1,Omalotheca supina (L.) DC.,Gnaphalium supinum L.,28,,n,3,,,,,
235193-1,Omalotheca sylvatica (L.) Sch.Bip. & F.W.Schultz,Gnaphalium sylvaticum L.,56,,n,1,,,,,
510476-1,Ononis reclinata L.,Ononis reclinata L.,60,,y,1,,,,,
510480-1,Ononis repens L.,Ononis repens L.,,c.60,y,5,,,,,
510480-1,Ononis repens L.,Ononis repens L.,60,,y,7,,,,,
510480-1,Ononis repens L.,Ononis repens subsp. repens ,60,,n,1,,,,,
332101-2,Ononis spinosa L.,Ononis spinosa L.,30,,y,3,,,,,
332101-2,Ononis spinosa L.,Ononis spinosa subsp. spinosa ,,c.30,n,1,,,,,
332101-2,Ononis spinosa L.,Ononis spinosa subsp. spinosa ,30,,n,4,,,,,
332101-2,Ononis spinosa L.,Ononis spinosa subsp. spinosa ,45,,n,1,,,,,
235234-1,Onopordum acanthium L.,Onopordum acanthium L.,34,,y,2,,,,,
17167680-1,Ophioglossum lusitanicum L.,Ophioglossum lusitanicum L.,,250-260,y,1,,,,,
304390-2,Ophioglossum vulgatum L.,Ophioglossum vulgatum L.,,500-520,y,1,,,,,
304390-2,Ophioglossum vulgatum L.,Ophioglossum vulgatum L.,,c.540,y,1,,,,,
648875-1,Orchis militaris L.,Orchis militaris L.,42,,y,1,,,,,
17446120-1,Oreopteris limbosperma (All.) Holub,Thelypteris oreopteris (Ehrh.) Sloss.,68,,n,1,,,,,
453395-1,Origanum vulgare L.,Origanum vulgare L.,,30 +1s,y,1,,,,,
453395-1,Origanum vulgare L.,Origanum vulgare L.,30,,y,3,,,,,
539600-1,Ornithogalum umbellatum L.,Ornithogalum angustifolium Boreau,27,,n,1,,,,,
539600-1,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,27,,y,2,,,,,
539600-1,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,28,,y,1,,,,,
539600-1,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,54,,y,1,,,,,
510863-1,Ornithopus perpusillus L.,Ornithopus perpusillus L.,14,,y,4,,,,,
