kew_id,unclear_species_marker,extinct_species_marker,taxon_name,taxon_name_binom,authors,taxon_name_WCVP,authors_WCVP,order,family,genus,subgenus,section,subsection,series,species,group,aggregate,members_of_agg.,taxonomic_status,accepted_kew_id,accepted_name,accepted_authors,imperfect_match_with_Stace_IV,WCVP_URL,POWO_URL,IPNI_URL,accepted_WCVP_URL,StaceIV_nativity,Atlas_nativity_viaALIENATT_PLANTATT,Stace_Crawley_nativity_aliens,SLA,LDMC,seed_mass,leaf_area,mean_veg_height,max_veg_height,L_PLANTATT,F_PLANTATT,R_PLANTATT,N_PLANTATT,S_PLANTATT,L_Doring,F_Doring,R_Doring,N_Doring,S_Doring,T_Doring,ECPE_CSR,predicted_CSR,growth_form,succulence,life_form,biome,origin,TDWG_level_1_code,GB_Man_hectads_post2000,Ire_hectads_post2000,CI_hectads_post2000,GB_Man_hectads_1987_1999,Ire_hectads_1987_1999,CI_hectads_1987_1999,GB_Man_hectads_2000_2009,Ire_hectads_2000_2009,CI_hectads_2000_2009,GB_Man_hectads_2010_2019,Ire_hectads_2010_2019,CI_hectads_2010_2019,hybrid_propensity,scaled_hybrid_propensity,BOLD_link1,BOLD_link2,BOLD_link3
226649-1,,,Jacobaea vulgaris Gaertn.,Jacobaea vulgaris,Gaertn.,Jacobaea vulgaris,Gaertn.,Asterales,Asteraceae,Jacobaea,,,,,vulgaris,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/226649-1,http://plantsoftheworldonline.org/taxon/226649-1,https://ipni.org/n/226649-1,,N,,,23.6777102,0.153111282,0.257574828,5445.801333,0.553182222,1.5,7,4,6,4,0,7,4,6,4,0,NA,R/CR,C/CR,NA,NA,hemicryptophyte,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,33.33333333,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA2138-12,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA673-10,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA1689-12
142679-1,,,Jasione montana L.,Jasione montana,L.,Jasione montana,L.,Asterales,Campanulaceae,Jasione,,,,,montana,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/142679-1,http://plantsoftheworldonline.org/taxon/142679-1,https://ipni.org/n/142679-1,,N,N,,34.38139215,0.217548333,0.035233864,37.13,0.235732392,0.65,7,4,4,2,0,7,3,3,2,0,6,NA,R/SR,Herb,NA,hemicryptophyte,Temperate,,,610,383,14,693,354,14,440,178,8,528,351,14,NA,NA,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA3161-12,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA379-10,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA3159-12
609361-1,,,Jasminum beesianum Forrest & Diels,Jasminum beesianum,Forrest & Diels,Jasminum beesianum,Forrest & Diels,Lamiales,Oleaceae,Jasminum,,,,,beesianum,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/609361-1,http://plantsoftheworldonline.org/taxon/609361-1,https://ipni.org/n/609361-1,,Neo-natd,AN,Neo-natd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrub,NA,phanerophyte / vine,,China,3,42,0,0,3,0,0,6,0,0,36,0,0,NA,NA,NA,NA,NA
609662-1,,,Jasminum nudiflorum Lindl.,Jasminum nudiflorum,Lindl.,Jasminum nudiflorum,Lindl.,Lamiales,Oleaceae,Jasminum,,,,,nudiflorum,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/609662-1,http://plantsoftheworldonline.org/taxon/609662-1,https://ipni.org/n/609662-1,,Neo-natd,AN,Neo-natd,NA,NA,NA,NA,3.3875,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrub,NA,phanerophyte,,China,3,186,8,0,15,0,0,55,2,0,161,6,0,NA,NA,NA,NA,NA
609672-1,,,Jasminum officinale L.,Jasminum officinale,L.,Jasminum officinale,L.,Lamiales,Oleaceae,Jasminum,,,,,officinale,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/609672-1,http://plantsoftheworldonline.org/taxon/609672-1,https://ipni.org/n/609672-1,,Neo-natd,AN,Neo-natd,NA,NA,62.9,NA,4.48,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrub,NA,phanerophyte / vine,,Caucasus to China,"1, 3",131,8,0,14,1,0,41,2,0,115,6,0,NA,NA,NA,NA,NA
279034-2,,,Juglans nigra L.,Juglans nigra,L.,Juglans nigra,L.,Fagales,Juglandaceae,Juglans,,,,,nigra,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/279034-2,http://plantsoftheworldonline.org/taxon/279034-2,https://ipni.org/n/279034-2,,Neo-natd,AN,Neo-natd,19.59084733,NA,11271.52966,20980.64103,34.72065455,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tree,NA,phanerophyte / tree,,N America,7,82,1,0,4,0,0,17,0,0,72,1,0,NA,NA,NA,NA,NA
442427-1,,,Juglans regia L.,Juglans regia,L.,Juglans regia,L.,Fagales,Juglandaceae,Juglans,,,,,regia,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/442427-1,http://plantsoftheworldonline.org/taxon/442427-1,https://ipni.org/n/442427-1,,Arch-cultd,AN,Arch-cultd,16.4860783,0.310071998,8769.479716,6130.327174,17.42452459,50,6,4,8,7,0,6,6,7,7,0,8,NA,CS/CSR,Tree,NA,phanerophyte / tree,,SE Europe and Asia,"1, 3, 4",1053,27,2,725,11,2,579,14,1,928,16,1,NA,NA,NA,NA,NA
133720-3,Y,,Juncus acutiflorus Ehrh. ex Hoffm.,Juncus acutiflorus,Ehrh. ex Hoffm.,Juncus acutiflorus,Ehrh. ex Hoffm.,Poales,Juncaceae,Juncus,,Ozophyllum,,,acutiflorus,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/133720-3,http://plantsoftheworldonline.org/taxon/133720-3,https://ipni.org/n/133720-3,,N,N,,12.00714286,0.22,0.015358824,1200,0.630555556,1,8,8,4,2,0,8,8,4,2,0,NA,SC,CS/CSR,Graminoid,NA,helophyte / geophyte,Temperate,,,2380,920,11,2299,781,11,1956,641,4,2159,844,10,1,2.222222222,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA380-10,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA1690-12,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA1691-12
442636-1,Y,,Juncus acutus L.,Juncus acutus,L.,Juncus acutus,L.,Poales,Juncaceae,Juncus,,Juncus,,,acutus,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/442636-1,http://plantsoftheworldonline.org/taxon/442636-1,https://ipni.org/n/442636-1,,N,N,,NA,NA,0.405714286,NA,0.95,1.5,9,8,7,3,3,9,8,7,3,3,NA,NA,NA,Graminoid,NA,hemicryptophyte,Mediterranean-Atlantic,,,36,29,11,29,26,10,28,27,7,31,15,9,NA,NA,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA2951-12,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA1121-12,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA381-10
77177309-1,Y,,Juncus alpinoarticulatus Chaix,Juncus alpinoarticulatus,Chaix,Juncus alpinoarticulatus,Chaix,Poales,Juncaceae,Juncus,,Ozophyllum,,,alpinoarticulatus,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/77177309-1,http://plantsoftheworldonline.org/taxon/77177309-1,https://ipni.org/n/77177309-1,,N,N,,10.80556952,0.253991803,0.020769231,57.772,0.209393939,0.6,9,9,7,2,0,9,9,7,2,0,NA,NA,S,Graminoid,NA,hemicryptophyte,Boreal montane,,,33,0,0,29,1,0,21,0,0,30,0,0,1,2.222222222,https://www.boldsystems.org/index.php/Public_RecordView?processid=FPUK183-14,https://www.boldsystems.org/index.php/Public_RecordView?processid=FPUK182-14,https://www.boldsystems.org/index.php/Public_RecordView?processid=FPUK184-14
