taxon_name,taxon_name_Stace,authors_Stace,Full name,pg_2C,pg_1C,Mbp_2C,Mbp_1C,PublishedPloidyLevel,PublishedChromosomeNumber,Locality,from GB material,DB
Koelreuteria paniculata Laxm.,Koelreuteria paniculata,Laxm.,Koelreuteria paniculata,0.8,0.4,782.40,391.20,2,"22, 30",Leiden Sylvius,n,"Zonneveld, 2019"
Hedera hibernica (G. Kirchn.) Bean,Hedera hibernica,(G. Kirchn.) Bean,Hedera hibernica,6.22,3.11,6083.16,3041.58,14,96,Leiden variegated halfway,n,"Zonneveld, 2019"
Orobanche hederae Duby,Orobanche hederae,Duby,Orobanche hederae,5.7,2.85,5574.60,2787.30,3,38,Leiden via Italy,n,"Zonneveld, 2019"
Alopecurus geniculatus L.,Alopecurus geniculatus,L.,Alopecurus geniculatus,14.3,7.15,13985.40,6992.70,6,28,Leiden Vliet,n,"Zonneveld, 2019"
Lamium purpureum L.,Lamium purpureum,L.,Lamium purpureum,1.49,0.745,1457.22,728.61,2,18,Leiden Vliet,n,"Zonneveld, 2019"
Tussilago farfara L.,Tussilago farfara,L.,Tussilago farfara,3.7,1.85,3618.60,1809.30,2,60,Leiden Vliet,n,"Zonneveld, 2019"
Cirsium vulgare (Savi) Ten.,Cirsium vulgare,(Savi) Ten.,Cirsium vulgare,5.43,2.715,5310.54,2655.27,2,68,Leiden Vlietlanden,n,"Zonneveld, 2019"
Glechoma hederacea L.,Glechoma hederacea,L.,Glechoma hederacea,1.97,0.985,1926.66,963.33,4,36,Leiden Vlietlanden,n,"Zonneveld, 2019"
Hypericum tetrapterum Fr.,Hypericum tetrapterum,Fr.,Hypericum tetrapterum,0.87,0.435,850.86,425.43,2,16,Leiden Vlietlanden,n,"Zonneveld, 2019"
Melilotus albus Medik.,Melilotus albus,Medik.,Melilotus albus,2.59,1.295,2533.02,1266.51,1,16,Leiden Vondellaan,n,"Zonneveld, 2019"
Melilotus altissimus Thuill.,Melilotus altissimus,Thuill.,Melilotus altissimus,2.83,1.415,2767.74,1383.87,1,16,Leiden Vondellaan,n,"Zonneveld, 2019"
Rhododendron ponticum L.,Rhododendron ponticum,L.,Rhododendron ponticum,1.61,0.805,1574.58,787.29,1,26,Leiden yellow centre,n,"Zonneveld, 2019"
Fumaria capreolata L.,Fumaria capreolata,L.,Fumaria capreolata,1.39,0.695,1359.42,679.71,1,"56, 64",Leiden Zoologie,n,"Zonneveld, 2019"
Pentaglottis sempervirens (L.) Tausch ex L.H. Bailey,Pentaglottis sempervirens,(L.) Tausch ex L.H. Bailey,Pentaglottis sempervirens,2.17,1.085,2122.26,1061.13,3,22,Leiden Zuydwyck,n,"Zonneveld, 2019"
Securigera varia (L.) Lassen,Securigera varia,(L.) Lassen,Securigera varia,3.33,1.665,3256.74,1628.37,2,24,Leiden ZW,n,"Zonneveld, 2019"
Agrostis gigantea Roth,Agrostis gigantea,Roth,Agrostis gigantea,13.2,6.6,12909.60,6454.80,4,42,Leiderdorp,n,"Zonneveld, 2019"
Carex riparia Curtis,Carex riparia,Curtis,Carex riparia,0.91,0.455,889.98,444.99,1,72,Leiderdorp,n,"Zonneveld, 2019"
Polypogon viridis (Gouan) Breistr.,Polypogon viridis,(Gouan) Breistr.,Polypogon viridis,7.08,3.54,6924.24,3462.12,7,28,Leiderdorp,n,"Zonneveld, 2019"
Torilis japonica (Houtt.) DC.,Torilis japonica,(Houtt.) DC.,Torilis japonica,1.37,0.685,1339.86,669.93,4,(12) 16,Leiderdorp,n,"Zonneveld, 2019"
Solanum villosum Mill.,Solanum villosum,Mill.,Solanum villosum,4.83,2.415,4723.74,2361.87,1,48,Lent,n,"Zonneveld, 2019"
Trisetum flavescens (L.) P. Beauv.,Trisetum flavescens,(L.) P. Beauv.,Trisetum flavescens,5.53,2.765,5408.34,2704.17,1,28,Lent,n,"Zonneveld, 2019"
Arum maculatum L.,Arum maculatum,L.,Arum maculatum,20,10,19560.00,9780.00,7,56,Limburg,n,"Zonneveld, 2019"
Colchicum autumnale L.,Colchicum autumnale,L.,Colchicum autumnale,5.8,2.9,5672.40,2836.20,2,24-42,Limburg,n,"Zonneveld, 2019"
Legousia speculum-veneris (L.) Chaix,Legousia speculum-veneris,(L.) Chaix,Legousia speculum-veneris,2.1,1.05,2053.80,1026.90,3,20,Limburg,n,"Zonneveld, 2019"
Potentilla sterilis (L.) Garcke,Potentilla sterilis,(L.) Garcke,Potentilla sterilis,0.54,0.27,528.12,264.06,1,(14) 28 (42),Limburg,n,"Zonneveld, 2019"
Rumex sanguineus L.,Rumex sanguineus,L.,Rumex sanguineus,1.5,0.75,1467.00,733.50,2,20,Limburg,n,"Zonneveld, 2019"
Dianthus barbatus L.,Dianthus barbatus,L.,Dianthus barbatus,1.54,0.77,1506.12,753.06,2,30,Lisse,n,"Zonneveld, 2019"
Plantago media L.,Plantago media,L.,Plantago media,5.51,2.755,5388.78,2694.39,3,(12) 24,Luxemburg,n,"Zonneveld, 2019"
Clematis viticella L.,Clematis viticella,L.,Clematis viticella,20.6,10.3,20146.80,10073.40,4,16,Maastricht Pieterplas,n,"Zonneveld, 2019"
Juncus pallidus R. Br.,Juncus pallidus,R. Br.,Juncus pallidus,0.6,0.3,586.80,293.40,4,,Meerssen,n,"Zonneveld, 2019"
Alchemilla acutiloba Opiz,Alchemilla acutiloba,Opiz,Alchemilla acutiloba,3.75,1.875,3667.50,1833.75,8,,Meppel,n,"Zonneveld, 2019"
Myriophyllum spicatum L.,Myriophyllum spicatum,L.,Myriophyllum spicatum,2.77,1.385,2709.06,1354.53,4,42,Meppel,n,"Zonneveld, 2019"
Myriophyllum verticillatum L.,Myriophyllum verticillatum,L.,Myriophyllum verticillatum,1.1,0.55,1075.80,537.90,1,28,Meppel,n,"Zonneveld, 2019"
Crataegus monogyna Jacq.,Crataegus monogyna,Jacq.,Crataegus monogyna,1.52,0.76,1486.56,743.28,5,34,Middachten,n,"Zonneveld, 2019"
Crataegus laevigata (Poir.) DC.,Crataegus laevigata,(Poir.) DC.,Crataegus laevigata,1.47,0.735,1437.66,718.83,8,34,Middachten Eikenlaan,n,"Zonneveld, 2019"
Melilotus indicus (L.) All.,Melilotus indicus,(L.) All.,Melilotus indicus,2.05,1.025,2004.90,1002.45,1,16,Middelburg centrum,n,"Zonneveld, 2019"
Arctium tomentosum Mill.,Arctium tomentosum,Mill.,Arctium tomentosum,4.15,2.075,4058.70,2029.35,2,36,Middelburg 't Zand,n,"Zonneveld, 2019"
Erigeron bonariensis L.,Erigeron bonariensis,L.,Erigeron bonariensis,4.46,2.23,4361.88,2180.94,11,"18, 36, 54",Mill,n,"Zonneveld, 2019"
Ornithopus sativus Brot.,Ornithopus sativus,Brot.,Ornithopus sativus,1.19,0.595,1163.82,581.91,1,14,Mill,n,"Zonneveld, 2019"
Panicum dichotomiflorum Michx.,Panicum dichotomiflorum,Michx.,Panicum dichotomiflorum,3.01,1.505,2943.78,1471.89,1,"36, 54",Mill,n,"Zonneveld, 2019"
Petrorhagia prolifera (L.) P.W. Ball & Heywood,Petrorhagia prolifera,(L.) P.W. Ball & Heywood,Petrorhagia prolifera,1.34,0.67,1310.52,655.26,3,30,Millingenvaard,n,"Zonneveld, 2019"
Myagrum perfoliatum L.,Myagrum perfoliatum,L.,Myagrum perfoliatum,1.26,0.63,1232.28,616.14,1,14,Millinger Waard,n,"Zonneveld, 2019"
Carex hirta L.,Carex hirta,L.,Carex hirta,0.65,0.325,635.70,317.85,3,112,Millingerwaard,n,"Zonneveld, 2019"
Carex spicata Huds.,Carex spicata,Huds.,Carex spicata,0.8,0.4,782.40,391.20,1,58,Millingerwaard,n,"Zonneveld, 2019"
Geranium purpureum Vill.,Geranium purpureum,Vill.,Geranium purpureum,1.09,0.545,1066.02,533.01,9,32 (64),Moerdijk Industrial area,n,"Zonneveld, 2019"
Malus sylvestris (L.) Mill.,Malus sylvestris,(L.) Mill.,Malus sylvestris,1.76,0.88,1721.28,860.64,5,34,Mook St Jansberg,n,"Zonneveld, 2019"
Genista anglica L.,Genista anglica,L.,Genista anglica,1.54,0.77,1506.12,753.06,3,"12, 48",Mookerheide,n,"Zonneveld, 2019"
Aira caryophyllea L.,Aira caryophyllea,L.,Aira caryophyllea,12.7,6.35,12420.60,6210.30,1,"14, 28",Mulderskop,n,"Zonneveld, 2019"
Anthoxanthum aristatum Boiss.,Anthoxanthum aristatum,Boiss.,Anthoxanthum aristatum,7.39,3.695,7227.42,3613.71,2,10,Mulderskop,n,"Zonneveld, 2019"
Silene otites (L.) Wibel,Silene otites,(L.) Wibel,Silene otites,5.23,2.615,5114.94,2557.47,1,24,N Hollands,n,"Zonneveld, 2019"
Poa bulbosa L.,Poa bulbosa,L.,Poa bulbosa,7.4,3.7,7237.20,3618.60,1,"28,45",N Hollands Duin,n,"Zonneveld, 2019"
Valerianella carinata Loisel.,Valerianella carinata,Loisel.,Valerianella carinata,0.53,0.265,518.34,259.17,1,"14, 16, 18",N Hollands Duin,n,"Zonneveld, 2019"
Genista tinctoria L.,Genista tinctoria,L.,Genista tinctoria,1.8,0.9,1760.40,880.20,5,48 (96),N Hollands Duins,n,"Zonneveld, 2019"
Gentianella campestris (L.) Börner,Gentianella campestris,(L.) Börner,Gentianella campestris,5.13,2.565,5017.14,2508.57,1,36,N Hollands Duins,n,"Zonneveld, 2019"
Juncus squarrosus L.,Juncus squarrosus,L.,Juncus squarrosus,0.82,0.41,801.96,400.98,1,40,N Hollands Duins,n,"Zonneveld, 2019"
Viola rupestris F.W. Schmidt,Viola rupestris,F.W. Schmidt,Viola rupestris,1.14,0.57,1114.92,557.46,1,20,N Hollands Duins,n,"Zonneveld, 2019"
Euphorbia exigua L.,Euphorbia exigua,L.,Euphorbia exigua,1.51,0.755,1476.78,738.39,3,24,N62 Sloeweg,n,"Zonneveld, 2019"
Abies procera Rehder,Abies procera,Rehder,Abies procera,34.4,17.2,33643.20,16821.60,1,24,NA,n,"Zonneveld, 2019"
Salix elaeagnos Scop.,Salix elaeagnos,Scop.,Salix elaeagnos,0.76,0.38,743.28,371.64,1,38,Ndam Afrika Haven,n,"Zonneveld, 2019"
Campanula garganica Ten.,Campanula garganica,Ten.,Campanula garganica,2.52,1.26,2464.56,1232.28,6,34,Ndam Jordaan,n,"Zonneveld, 2019"
Aira praecox L.,Aira praecox,L.,Aira praecox,6.78,3.39,6630.84,3315.42,2,14,Ned n. c.,n,"Zonneveld, 2019"
Lapsana communis L.,Lapsana communis,L.,Lapsana communis,2.63,1.315,2572.14,1286.07,1,14,Ned. n. c,n,"Zonneveld, 2019"
Larix decidua Mill.,Larix decidua,Mill.,Larix decidua,26,13,25428.00,12714.00,1,24,Ned. n. c,n,"Zonneveld, 2019"
Larix kaempferi (Lamb.) Carrière,Larix kaempferi,(Lamb.) Carrière,Larix kaempferi,26.4,13.2,25819.20,12909.60,1,24,Ned. n. c,n,"Zonneveld, 2019"
Allium pendulinum Ten.,Allium pendulinum,Ten.,Allium pendulinum,42,21,41076.00,20538.00,1,"14, 18",Ned. n. c.,n,"Zonneveld, 2019"
Allium scorodoprasum L.,Allium scorodoprasum,L.,Allium scorodoprasum,47.2,23.6,46161.60,23080.80,2,"16, 28",Ned. n. c.,n,"Zonneveld, 2019"
Alopecurus pratensis L.,Alopecurus pratensis,L.,Alopecurus pratensis,12.6,6.3,12322.80,6161.40,1,28,Ned. n. c.,n,"Zonneveld, 2019"
Anemone nemorosa L.,Anemone nemorosa,L.,Anemone nemorosa,38.9,19.45,38044.20,19022.10,9,30 (16-46),Ned. n. c.,n,"Zonneveld, 2019"
Anthriscus caucalis M. Bieb.,Anthriscus caucalis,M. Bieb.,Anthriscus caucalis,1.17,0.585,1144.26,572.13,1,14,Ned. n. c.,n,"Zonneveld, 2019"
Bidens connata Muhl. ex Willd.,Bidens connata,Muhl. ex Willd.,Bidens connata,6.41,3.205,6268.98,3134.49,1,"48, 72",Ned. n. c.,n,"Zonneveld, 2019"
Bryonia dioica Jacq.,Bryonia dioica,Jacq.,Bryonia dioica,3.92,1.96,3833.76,1916.88,3,20,Ned. n. c.,n,"Zonneveld, 2019"
Carex acuta L.,Carex acuta,L.,Carex acuta,1.02,0.51,997.56,498.78,1,"82, 83, 84",Ned. n. c.,n,"Zonneveld, 2019"
Carex arenaria L.,Carex arenaria,L.,Carex arenaria,0.86,0.43,841.08,420.54,2,28-64,Ned. n. c.,n,"Zonneveld, 2019"
Carex remota L.,Carex remota,L.,Carex remota,0.93,0.465,909.54,454.77,5,"60, 62",Ned. n. c.,n,"Zonneveld, 2019"
Carex trinervis Degl.,Carex trinervis,Degl.,Carex trinervis,1.31,0.655,1281.18,640.59,2,"84, 85",Ned. n. c.,n,"Zonneveld, 2019"
Catapodium marinum (L.) C.E. Hubb.,Catapodium marinum,(L.) C.E. Hubb.,Catapodium marinum,12.2,6.1,11931.60,5965.80,4,"14, 28",Ned. n. c.,n,"Zonneveld, 2019"
Chaenorhinum minus (L.) Lange,Chaenorhinum minus,(L.) Lange,Chaenorhinum minus,0.9,0.45,880.20,440.10,2,14,Ned. n. c.,n,"Zonneveld, 2019"
Cirsium eriophorum (L.) Scop.,Cirsium eriophorum,(L.) Scop.,Cirsium eriophorum,3.62,1.81,3540.36,1770.18,1,34,Ned. n. c.,n,"Zonneveld, 2019"
Corispermum intermedium Schweigg.,Corispermum intermedium,Schweigg.,Corispermum intermedium,1.07,0.535,1046.46,523.23,3,18,Ned. n. c.,n,"Zonneveld, 2019"
Crassula helmsii (Kirk) Cockayne,Crassula helmsii,(Kirk) Cockayne,Crassula helmsii,0.63,0.315,616.14,308.07,2,36,Ned. n. c.,n,"Zonneveld, 2019"
Crepis capillaris (L.) Wallr.,Crepis capillaris,(L.) Wallr.,Crepis capillaris,4.47,2.235,4371.66,2185.83,2,6,Ned. n. c.,n,"Zonneveld, 2019"
Crepis paludosa (L.) Moench,Crepis paludosa,(L.) Moench,Crepis paludosa,9.04,4.52,8841.12,4420.56,2,12,Ned. n. c.,n,"Zonneveld, 2019"
Cyperus longus L.,Cyperus longus,L.,Cyperus longus,0.7,0.35,684.60,342.30,1,,Ned. n. c.,n,"Zonneveld, 2019"
Deschampsia cespitosa (L.) P. Beauv.,Deschampsia cespitosa,(L.) P. Beauv.,Deschampsia cespitosa,8.6,4.3,8410.80,4205.40,1,"26, 39, 52",Ned. n. c.,n,"Zonneveld, 2019"
Echinops exaltatus Schrad.,Echinops exaltatus,Schrad.,Echinops exaltatus,8.95,4.475,8753.10,4376.55,1,30,Ned. n. c.,n,"Zonneveld, 2019"
Egeria densa Planch.,Egeria densa,Planch.,Egeria densa,11.5,5.75,11247.00,5623.50,1,48,Ned. n. c.,n,"Zonneveld, 2019"
Elatine hydropiper L.,Elatine hydropiper,L.,Elatine hydropiper,0.59,0.295,577.02,288.51,1,40,Ned. n. c.,n,"Zonneveld, 2019"
Filago lutescens Jord.,Filago lutescens,Jord.,Filago lutescens,1.64,0.82,1603.92,801.96,1,28,Ned. n. c.,n,"Zonneveld, 2019"
Fragaria vesca L.,Fragaria vesca,L.,Fragaria vesca,0.59,0.295,577.02,288.51,7,14,Ned. n. c.,n,"Zonneveld, 2019"
Geranium sylvaticum L.,Geranium sylvaticum,L.,Geranium sylvaticum,4.92,2.46,4811.76,2405.88,2,28,Ned. n. c.,n,"Zonneveld, 2019"
Hypericum hirsutum L.,Hypericum hirsutum,L.,Hypericum hirsutum,0.71,0.355,694.38,347.19,3,18,Ned. n. c.,n,"Zonneveld, 2019"
Juncus dudleyi Wiegand,Juncus dudleyi,Wiegand,Juncus dudleyi,3.78,1.89,3696.84,1848.42,1,"c84, 42",Ned. n. c.,n,"Zonneveld, 2019"
Juncus effusus L.,Juncus effusus,L.,Juncus effusus,0.69,0.345,674.82,337.41,1,"40, 42",Ned. n. c.,n,"Zonneveld, 2019"
Juncus inflexus L.,Juncus inflexus,L.,Juncus inflexus,0.76,0.38,743.28,371.64,1,"40, 42",Ned. n. c.,n,"Zonneveld, 2019"
Juncus subnodulosus Schrank,Juncus subnodulosus,Schrank,Juncus subnodulosus,1.29,0.645,1261.62,630.81,2,40,Ned. n. c.,n,"Zonneveld, 2019"
Lamium confertum Fr.,Lamium confertum,Fr.,Lamium confertum,2.72,1.36,2660.16,1330.08,1,36,Ned. n. c.,n,"Zonneveld, 2019"
Lepidium densiflorum Schrad.,Lepidium densiflorum,Schrad.,Lepidium densiflorum,0.75,0.375,733.50,366.75,1,32,Ned. n. c.,n,"Zonneveld, 2019"
Lonicera tatarica L.,Lonicera tatarica,L.,Lonicera tatarica,1.79,0.895,1750.62,875.31,2,18,Ned. n. c.,n,"Zonneveld, 2019"
Luzula campestris (L.) DC.,Luzula campestris,(L.) DC.,Luzula campestris,0.76,0.38,743.28,371.64,1,12 (18-36),Ned. n. c.,n,"Zonneveld, 2019"
Malva pusilla Sm.,Malva pusilla,Sm.,Malva pusilla,1.46,0.73,1427.88,713.94,5,42,Ned. n. c.,n,"Zonneveld, 2019"
Medicago arabica (L.) Huds.,Medicago arabica,(L.) Huds.,Medicago arabica,1.22,0.61,1193.16,596.58,2,16,Ned. n. c.,n,"Zonneveld, 2019"
Mespilus germanica L.,Mespilus germanica,L.,Mespilus germanica,1.79,0.895,1750.62,875.31,6,34,Ned. n. c.,n,"Zonneveld, 2019"
Oenanthe aquatica (L.) Poir.,Oenanthe aquatica,(L.) Poir.,Oenanthe aquatica,2.03,1.015,1985.34,992.67,2,22,Ned. n. c.,n,"Zonneveld, 2019"
Ornithopus compressus L.,Ornithopus compressus,L.,Ornithopus compressus,1.23,0.615,1202.94,601.47,2,14,Ned. n. c.,n,"Zonneveld, 2019"
Papaver dubium L.,Papaver dubium,L.,Papaver dubium,10.6,5.3,10366.80,5183.40,7,"(14, 28) 42",Ned. n. c.,n,"Zonneveld, 2019"
Persicaria maculosa Gray,Persicaria maculosa,Gray,Persicaria maculosa,3.48,1.74,3403.44,1701.72,4,44,Ned. n. c.,n,"Zonneveld, 2019"
Persicaria mitis (Schrank) Assenov,Persicaria mitis,(Schrank) Assenov,Persicaria mitis,3.59,1.795,3511.02,1755.51,2,40,Ned. n. c.,n,"Zonneveld, 2019"
Petasites japonicus (Siebold & Zucc.) Maxim.,Petasites japonicus,(Siebold & Zucc.) Maxim.,Petasites japonicus,10.9,5.45,10660.20,5330.10,1,60,Ned. n. c.,n,"Zonneveld, 2019"
Physalis peruviana L.,Physalis peruviana,L.,Physalis peruviana,12.4,6.2,12127.20,6063.60,3,"24, 48",Ned. n. c.,n,"Zonneveld, 2019"
Plantago coronopus L.,Plantago coronopus,L.,Plantago coronopus,1.15,0.575,1124.70,562.35,2,10,Ned. n. c.,n,"Zonneveld, 2019"
Potamogeton natans L.,Potamogeton natans,L.,Potamogeton natans,1.85,0.925,1809.30,904.65,2,"42, 52",Ned. n. c.,n,"Zonneveld, 2019"
Prunus serotina Ehrh.,Prunus serotina,Ehrh.,Prunus serotina,1.05,0.525,1026.90,513.45,3,32,Ned. n. c.,n,"Zonneveld, 2019"
Salvia officinalis L.,Salvia officinalis,L.,Salvia officinalis,1.18,0.59,1154.04,577.02,1,14,Ned. n. c.,n,"Zonneveld, 2019"
Salvia pratensis L.,Salvia pratensis,L.,Salvia pratensis,1.57,0.785,1535.46,767.73,1,"16, 18",Ned. n. c.,n,"Zonneveld, 2019"
Schoenoplectus lacustris (L.) Palla,Schoenoplectus lacustris,(L.) Palla,Schoenoplectus lacustris,1.23,0.615,1202.94,601.47,2,42,Ned. n. c.,n,"Zonneveld, 2019"
Setaria faberi Herrm.,Setaria faberi,Herrm.,Setaria faberi,2.59,1.295,2533.02,1266.51,1,36,Ned. n. c.,n,"Zonneveld, 2019"
Sinapis arvensis L.,Sinapis arvensis,L.,Sinapis arvensis,2.21,1.105,2161.38,1080.69,1,18,Ned. n. c.,n,"Zonneveld, 2019"
Sisymbrium irio L.,Sisymbrium irio,L.,Sisymbrium irio,0.68,0.34,665.04,332.52,2,14-56,Ned. n. c.,n,"Zonneveld, 2019"
Sisymbrium loeselii L.,Sisymbrium loeselii,L.,Sisymbrium loeselii,0.53,0.265,518.34,259.17,1,14,Ned. n. c.,n,"Zonneveld, 2019"
Solanum sarrachoides Sendtn.,Solanum sarrachoides,Sendtn.,Solanum sarrachoides,3.25,1.625,3178.50,1589.25,2,24,Ned. n. c.,n,"Zonneveld, 2019"
Sonchus palustris L.,Sonchus palustris,L.,Sonchus palustris,3.79,1.895,3706.62,1853.31,2,18 (54),Ned. n. c.,n,"Zonneveld, 2019"
Trifolium campestre Schreb.,Trifolium campestre,Schreb.,Trifolium campestre,0.79,0.395,772.62,386.31,1,14,Ned. n. c.,n,"Zonneveld, 2019"
Trifolium dubium Sibth.,Trifolium dubium,Sibth.,Trifolium dubium,1.58,0.79,1545.24,772.62,3,32,Ned. n. c.,n,"Zonneveld, 2019"
Trifolium hybridum L.,Trifolium hybridum,L.,Trifolium hybridum,0.99,0.495,968.22,484.11,1,16,Ned. n. c.,n,"Zonneveld, 2019"
Trifolium striatum L.,Trifolium striatum,L.,Trifolium striatum,0.85,0.425,831.30,415.65,1,14,Ned. n. c.,n,"Zonneveld, 2019"
Tsuga heterophylla (Raf.) Sarg.,Tsuga heterophylla,(Raf.) Sarg.,Tsuga heterophylla,34.4,17.2,33643.20,16821.60,1,24,Ned. n. c.,n,"Zonneveld, 2019"
Typha angustifolia L.,Typha angustifolia,L.,Typha angustifolia,0.52,0.26,508.56,254.28,5,"30, 60",Ned. n. c.,n,"Zonneveld, 2019"
Typha latifolia L.,Typha latifolia,L.,Typha latifolia,0.57,0.285,557.46,278.73,2,30,Ned. n. c.,n,"Zonneveld, 2019"
Vicia cracca L.,Vicia cracca,L.,Vicia cracca,11.3,5.65,11051.40,5525.70,2,28,Ned. n. c.,n,"Zonneveld, 2019"
Vulpia bromoides (L.) Gray,Vulpia bromoides,(L.) Gray,Vulpia bromoides,5.12,2.56,5007.36,2503.68,1,14,Ned. n. c.,n,"Zonneveld, 2019"
Holcus mollis L.,Holcus mollis,L.,Holcus mollis,6,3,5868.00,2934.00,1,28-49,Ned.n.c.,n,"Zonneveld, 2019"
Potamogeton gramineus L.,Potamogeton gramineus,L.,Potamogeton gramineus,1.78,0.89,1740.84,870.42,5,52,Nederwetten poel,n,"Zonneveld, 2019"
Clinopodium acinos (L.) Kuntze,Clinopodium acinos,(L.) Kuntze,Clinopodium acinos,1.43,0.715,1398.54,699.27,1,18,NHM Maastricht,n,"Zonneveld, 2019"
Filipendula vulgaris Moench,Filipendula vulgaris,Moench,Filipendula vulgaris,0.85,0.425,831.30,415.65,6,14,NHM Maastricht,n,"Zonneveld, 2019"
Hieracium amplexicaule L.,Hieracium amplexicaule,L.,Hieracium amplexicaule,14.3,7.15,13985.40,6992.70,5,"27, 36",NHM Maastricht,n,"Zonneveld, 2019"
Inula salicina L.,Inula salicina,L.,Inula salicina,3.59,1.795,3511.02,1755.51,2,16,NHM Maastricht,n,"Zonneveld, 2019"
Pseudofumaria alba (Mill.) Lidén,Pseudofumaria alba,(Mill.) Lidén,Pseudofumaria alba,0.77,0.385,753.06,376.53,2,"28, 32",NHM Maastricht,n,"Zonneveld, 2019"
Senecio sarracenicus L.,Senecio sarracenicus,L.,Senecio sarracenicus,13,6.5,12714.00,6357.00,1,40,NHM Maastricht,n,"Zonneveld, 2019"
Teucrium botrys L.,Teucrium botrys,L.,Teucrium botrys,0.55,0.275,537.90,268.95,2,32,NHM Maastricht,n,"Zonneveld, 2019"
Trifolium medium L.,Trifolium medium,L.,Trifolium medium,8.43,4.215,8244.54,4122.27,1,80,NHM Maastricht,n,"Zonneveld, 2019"
Alisma gramineum Lej.,Alisma gramineum,Lej.,Alisma gramineum,23.3,11.65,22787.40,11393.70,3,14,NHN,n,"Zonneveld, 2019"
Melilotus officinalis (L.) Pall.,Melilotus officinalis,(L.) Pall.,Melilotus officinalis,2.7,1.35,2640.60,1320.30,1,16,NHN,n,"Zonneveld, 2019"
Coincya monensis (L.) Greuter & Burdet,Coincya monensis,(L.) Greuter & Burdet,Coincya monensis,3.81,1.905,3726.18,1863.09,1,"24,48",Nieuw Bergen,n,"Zonneveld, 2019"
Callitriche platycarpa Kütz.,Callitriche platycarpa,Kütz.,Callitriche platycarpa,5.45,2.725,5330.10,2665.05,5,20,Nieuw-Bergen,n,"Zonneveld, 2019"
Equisetum fluviatile L.,Equisetum fluviatile,L.,Equisetum fluviatile,29.3,14.65,28655.40,14327.70,4,216,Nieuw-Bergen,n,"Zonneveld, 2019"
Utricularia vulgaris L.,Utricularia vulgaris,L.,Utricularia vulgaris,0.49,0.245,479.22,239.61,1,44,Nieuw-Bergen,n,"Zonneveld, 2019"
Barbarea verna (Mill.) Asch.,Barbarea verna,(Mill.) Asch.,Barbarea verna,0.57,0.285,557.46,278.73,2,16,Nieuwkoop,n,"Zonneveld, 2019"
Rumex maritimus L.,Rumex maritimus,L.,Rumex maritimus,2.25,1.125,2200.50,1100.25,3,40,Nieuwkoop,n,"Zonneveld, 2019"
Symphytum officinale L.,Symphytum officinale,L.,Symphytum officinale,4.54,2.27,4440.12,2220.06,4,"24, 48",Nieuwkoop,n,"Zonneveld, 2019"
Carex buxbaumii Wahlenb.,Carex buxbaumii,Wahlenb.,Carex buxbaumii,1.66,0.83,1623.48,811.74,1,"74, 106",Nieuwkoop De Haeck,n,"Zonneveld, 2019"
Eleocharis acicularis (L.) Roem. & Schult.,Eleocharis acicularis,(L.) Roem. & Schult.,Eleocharis acicularis,2.63,1.315,2572.14,1286.07,2,"20, 56",Nieuwkoop Gr. Jonker,n,"Zonneveld, 2019"
Gnaphalium uliginosum L.,Gnaphalium uliginosum,L.,Gnaphalium uliginosum,0.95,0.475,929.10,464.55,1,14,Nieuwkoop Gr. Jonker,n,"Zonneveld, 2019"
Mentha aquatica L.,Mentha aquatica,L.,Mentha aquatica,3.28,1.64,3207.84,1603.92,9,96,Nieuwkoop Gr. Jonker,n,"Zonneveld, 2019"
Persicaria hydropiper (L.) Delarbre,Persicaria hydropiper,(L.) Delarbre,Persicaria hydropiper,1.82,0.91,1779.96,889.98,3,"20, 22",Nieuwkoop Gr. Jonker,n,"Zonneveld, 2019"
Raphanus raphanistrum L.,Raphanus raphanistrum,L.,Raphanus raphanistrum,1.15,0.575,1124.70,562.35,4,18,Nieuwkoop Gr. Jonker,n,"Zonneveld, 2019"
Rorippa palustris (L.) Besser,Rorippa palustris,(L.) Besser,Rorippa palustris,1.18,0.59,1154.04,577.02,1,32,Nieuwkoop Gr. Jonker,n,"Zonneveld, 2019"
Scutellaria galericulata L.,Scutellaria galericulata,L.,Scutellaria galericulata,0.78,0.39,762.84,381.42,3,"30, 32",Nieuwkoop Gr. Jonker,n,"Zonneveld, 2019"
Stachys palustris L.,Stachys palustris,L.,Stachys palustris,3.82,1.91,3735.96,1867.98,7,"64 (96, 102)",Nieuwkoop Gr. Jonker,n,"Zonneveld, 2019"
Gilia capitata Sims,Gilia capitata,Sims,Gilia capitata,6.23,3.115,6092.94,3046.47,2,18,Nieuwkoop Tijstermans,n,"Zonneveld, 2019"
Schoenoplectus pungens (Vahl) Palla,Schoenoplectus pungens,(Vahl) Palla,Schoenoplectus pungens,1.07,0.535,1046.46,523.23,1,"74, 78",Nijkerk Deuverden,n,"Zonneveld, 2019"
Anisantha tectorum (L.) Nevski.,Anisantha tectorum,(L.) Nevski.,Anisantha tectorum,5.76,2.88,5633.28,2816.64,3,14,Nijmegen,n,"Zonneveld, 2019"
Cardamine bulbifera (L.) Crantz,Cardamine bulbifera,(L.) Crantz,Cardamine bulbifera,4.33,2.165,4234.74,2117.37,1,32-128,Nijmegen,n,"Zonneveld, 2019"
